seed,alpha,jaccard_mean,jaccard_median,jaccard_p10,spearman_mean,kendall_mean,n_downweighted,min_weight,mean_weight
0,0.01,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
0,0.034,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
0,0.059,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
0,0.083,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
0,0.107,0.9893283117557677,1.0,0.9459459459459459,0.9999682428774219,0.998088867682846,2,0.9633310345118612,1.0000000000000002
0,0.132,0.9829080405991879,1.0,0.9459459459459459,0.9998868718027147,0.995799670390328,2,0.8768586334218792,0.9999999999999998
0,0.156,0.9768336017052123,1.0,0.9459459459459459,0.9998176385862508,0.9941134212459513,4,0.8207230734704705,1.0000000000000002
0,0.181,0.967381003609277,1.0,0.8947368421052632,0.9996901237542652,0.9915795881164965,7,0.7767244807402689,0.9999999999999998
0,0.205,0.962594687322784,0.9459459459459459,0.8947368421052632,0.9996395266154343,0.9905685582549532,9,0.7630767629838895,1.0000000000000004
0,0.229,0.9625504874942332,0.9459459459459459,0.8947368421052632,0.9996452093912056,0.99055143178186,10,0.7715679257127743,0.9999999999999997
0,0.254,0.9625203313095502,0.9459459459459459,0.8947368421052632,0.9997043497701068,0.9909714857160467,11,0.7948957773559668,1.0000000000000002
0,0.278,0.9590143320593616,0.9459459459459459,0.8947368421052632,0.9996964369998494,0.9902330160761234,13,0.7996388832441061,1.0000000000000013
0,0.302,0.958745935644171,0.9459459459459459,0.8947368421052632,0.999722115920598,0.9905351190123551,14,0.8139719567996847,0.9999999999999998
0,0.327,0.9598288355249565,0.9459459459459459,0.8947368421052632,0.9997403821157427,0.9908940523028477,15,0.8212911246678225,0.9999999999999984
0,0.351,0.9610873409935787,0.9459459459459459,0.8947368421052632,0.9997629242207917,0.9913318485297173,15,0.8324309614169147,0.9999999999999994
0,0.375,0.9611938593196842,0.9459459459459459,0.8947368421052632,0.9997625115578893,0.9914406918951423,13,0.8268711456781763,1.0000000000000018
1,0.01,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
1,0.034,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
1,0.059,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
1,0.083,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
1,0.107,0.9867722362464706,1.0,0.9459459459459459,0.9999414820583127,0.9970346175099501,2,0.9217135927247403,0.9999999999999998
1,0.132,0.9833027577321871,1.0,0.9459459459459459,0.9998605443331703,0.9953124094701311,2,0.8431232828823192,1.0000000000000004
1,0.156,0.9750533847376033,1.0,0.9459459459459459,0.9997673277642191,0.9934895337029593,4,0.7920513384462303,1.0000000000000002
1,0.181,0.9692077609738321,1.0,0.8947368421052632,0.9997095758129154,0.9920551843912792,7,0.772858238819195,1.0000000000000002
1,0.205,0.9665534556993882,1.0,0.8947368421052632,0.9997253234734288,0.9918191983113911,9,0.7971037330774012,0.9999999999999994
1,0.229,0.9664843100210407,1.0,0.8947368421052632,0.9997329864210402,0.9917898070434897,9,0.8040845548371496,1.0000000000000007
1,0.254,0.9635154162674056,0.9459459459459459,0.8947368421052632,0.9997618043143207,0.9915806265536263,13,0.8247175422458776,0.9999999999999998
1,0.278,0.9595218339864544,0.9459459459459459,0.8947368421052632,0.9997380481516588,0.990645853885088,10,0.8286865288658732,1.0000000000000018
1,0.302,0.95930716815266,0.9459459459459459,0.8947368421052632,0.9997544666726292,0.990883057844959,12,0.8378715954982818,1.0000000000000009
1,0.327,0.9610244883423704,0.9459459459459459,0.8947368421052632,0.9997796738349495,0.9914364338060503,12,0.8485129346408747,1.0000000000000002
1,0.351,0.9626761323162264,0.9459459459459459,0.8947368421052632,0.9997999492334493,0.9918962270704456,12,0.8590513723386756,1.0000000000000009
1,0.375,0.962907242445697,0.9459459459459459,0.8947368421052632,0.9998032243184977,0.9920645701697864,12,0.8572007077694556,0.999999999999999
2,0.01,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
2,0.034,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
