alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.1,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.2,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.3,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.4,0.996925966009538,1.0,1.0,0.999989520166768,0.9994754482436904
0.5,0.9988735756392506,1.0,1.0,0.99999639035012,0.9998715419299712
0.6,0.9993988033069148,1.0,1.0,0.999997471502574,0.9999239742491502
0.7,0.9976648991332469,1.0,1.0,0.9999961148332612,0.9996077539677256
0.8,0.9979376666687624,1.0,1.0,0.9999967536685064,0.9996571839948348
0.9,0.9982289468633156,1.0,1.0,0.9999970351025708,0.9996922691022044
1.0,0.991183960770898,1.0,0.945945945945946,0.9999793642987168,0.9982698083541908
1.1,0.9288947474844448,0.945945945945946,0.8461538461538461,0.9991144481733992,0.983585554814471
1.2,0.8343473721818487,0.8461538461538461,0.6744186046511628,0.994096875694581,0.9543722854333736
1.3,0.7769222714583806,0.8,0.6,0.98720229025382,0.9309059445304372
1.4,0.7384189537538071,0.7560975609756098,0.5319148936170213,0.9798579914755872,0.9117189063553376
1.5,0.71098842973591,0.7142857142857143,0.5,0.9726759284827844,0.895794111087915
1.8,0.6616670246775427,0.6744186046511628,0.44,0.9538407464302968,0.8610464881245448
2.1,0.6354225850328447,0.6363636363636364,0.4117647058823529,0.9392705762468592,0.8382170248226641
2.4,0.6185670500756658,0.6363636363636364,0.3846153846153846,0.927991409774559,0.822071438954049
2.7,0.607251301411201,0.6,0.3584905660377358,0.919099833576946,0.8100774152978536
3.0,0.5986952045248012,0.6,0.3584905660377358,0.911941076978458,0.8008108529423323
