party,mini_baseline,aug_baseline,delta_attack,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,crw_drift_ANSWER-CORR_α0.3,delta_crw_ANSWER-CORR_α0.3,reduction_ANSWER-CORR_α0.3,crw_drift_ANSWER-CORR_α0.4,delta_crw_ANSWER-CORR_α0.4,reduction_ANSWER-CORR_α0.4,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
SP,0.1250273390198449,0.1612288689380561,0.03620152991821121,-0.001619003419376694,0.03755314438735331,-3.733583835257104,-0.00118824715540769,0.03698502621877431,-2.164262953342644,-0.0005281098468475909,0.0367296397650588,-1.4588053268487,-0.0008695141922842875,0.03676964808678959,-1.5693208819127502,-0.0021897888094041945,0.03655893759234051,-0.9872722919080479
Green,0.1261515728604857,0.1602806717130308,0.03412909885254509,0.0004114189084651887,0.033866377539845616,0.7697868432874788,-0.0004260886264352004,0.03487125322065321,-2.1745501436021053,-0.00017870383706500292,0.03430780268961009,-0.5236113553337418,0.00020670966227609444,0.03405241623589411,0.2246839771020137,-0.00016670134054588837,0.03476189714125569,-1.8541312545186317
GLP,0.1451068488912262,0.1783517638335196,0.033244914942293424,-0.0008228378169325978,0.03165991859638781,4.767635437349904,-0.0002807250574786979,0.030617701815298104,7.902601440116907,-0.00031539893631218896,0.03356031387860561,-0.9487133200962061,7.001456302921372e-05,0.03302020153523921,0.6759331688598658,9.535316679210037e-05,0.03241874309855122,2.4851074071817414
Centre,0.1809242989208312,0.198351923866817,0.017427624945985792,0.0007774950523037893,0.017174238908355816,1.4539332721200227,0.0006581368924735986,0.01701553923215579,2.364554637291061,0.0006801414694259933,0.0167474834765598,3.902662993574779,5.267762361199635e-05,0.017571654904216305,-0.8264462809872919,0.0003454051776095868,0.017478968958872104,-0.29461279460307743
FDP,0.0442098623180326,0.0519134646673222,0.007703602349289594,-0.0002080432730007034,0.007826294535931103,-1.592659915173611,-7.868303273740607e-05,0.007382868970080003,4.163420756513581,9.33527507054957e-05,0.0076102495985840984,1.2118064571973175,3.200665738469638e-05,0.0074308789561571,3.5402060070980235,-0.0003727441974597026,0.0077096035975492,-0.07790184367653108
SVP,0.0487107985127603,0.05390854631097,0.005197747798209702,0.00014736398504230225,0.005264428334427695,-1.2828736369425275,5.5344845061103265e-05,0.005453134251925396,-4.9134060295048965,0.00011068969012230367,0.005087058108087399,2.1295702373329672,0.0005067720752585034,0.004905687049573795,5.618986529829395,0.0004754322232360039,0.005502477848726796,-5.862732520844016
