party,original,original_crw,worst_case,worst_case_crw,realistic,realistic_crw
SP,0.13203146254420134,0.13178874539236696,0.17737356036720767,0.13212481529490666,0.14967779964898054,0.13172806610440838
Green,0.1353834930998901,0.13535815449612687,0.12967897322642843,0.1352608009132479,0.1330856818218128,0.13543750433422633
GLP,0.16196035442036616,0.16189100666269848,0.14346317367344594,0.16177164850286807,0.15282712137456347,0.1618836718037147
Centre,0.17452696827605796,0.17481102736034754,0.16256448007852026,0.1747970244477419,0.1702567467366454,0.174808360138899
FDP,0.04323966051605851,0.043365686729510855,0.03816193768304121,0.04336768714559739,0.04186937549677414,0.04336635353487302
SVP,0.046647035916806634,0.04674238908359875,0.0440725004134233,0.04674105547287437,0.04560415233035467,0.04674638991577186
