target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
SP,32220;32248;32240;32217;32270,SP,0.1320314625442013,0.1321054779394033,7.401539520199285e-05,0.1773735603672076,0.1651276798907361,0.0453420978230063,0.03302220195133279,27.170987808646274,0.1496777996489805,0.1396597158875607,0.017646337104779197,0.007554237948157405,57.19090084643417
SP,32220;32248;32240;32217;32270,Green,0.1353834930998901,0.1347600300862486,-0.0006234630136414954,0.1296789732264284,0.1314146675841851,-0.005704519873461683,-0.0033453625020634925,41.355932203398204,0.1330856818218128,0.1336011223667783,-0.002297811278077294,-0.0011589077194703035,49.564712710435224
SP,32220;32248;32240;32217;32270,GLP,0.1619603544203661,0.1610321613562088,-0.0009281930641573122,0.1434631736734459,0.1462290823157757,-0.018497180746920194,-0.014803079040433098,19.971160778661734,0.1528271213745634,0.157214033852356,-0.009133233045802713,-0.0038181275038527973,58.195225231798254
SP,32220;32248;32240;32217;32270,Centre,0.1745269682760579,0.1757205498743627,0.0011935815983047937,0.1625644800785202,0.166197902497047,-0.011962488197537702,-0.009522647377315702,20.395763656629605,0.1702567467366454,0.1742855847349482,-0.004270221539412505,-0.0014349651394144902,66.39600249845792
SP,32220;32248;32240;32217;32270,FDP,0.0432396605160585,0.0432129883015713,-2.6672214487197254e-05,0.0381619376830412,0.0396822539088163,-0.005077722833017301,-0.0035307343927550028,30.466185160859627,0.0418693754967741,0.0428109046681753,-0.0013702850192843993,-0.0004020836333960068,70.65693430655865
SP,32220;32248;32240;32217;32270,SVP,0.0466470359168066,0.0468524119683587,0.00020537605155210303,0.0440725004134233,0.0450653735977119,-0.002574535503383296,-0.0017870383706468027,30.58793058792987,0.0456041523303546,0.046350974335998,-0.0010428835864519995,-0.0005014376323606989,51.91815856776086
Green,32217;32240;32251;32221;32266,SP,0.1320314625442013,0.1321054779394033,7.401539520199285e-05,0.1438912627159686,0.1398557566640429,0.011859800171767299,0.007750278724639598,34.65084898235108,0.1350874315190806,0.1338985175583104,0.0030559689748792807,0.0017930396189070885,41.32664193758975
Green,32217;32240;32251;32221;32266,Green,0.1353834930998901,0.1347600300862486,-0.0006234630136414954,0.1573553965891412,0.152582403806643,0.0219719034892511,0.017822373720394413,18.88561803890447,0.1453002224462572,0.138665509092547,0.009916729346367115,0.0039054790062983957,60.61726734803824
Green,32217;32240;32251;32221;32266,GLP,0.1619603544203661,0.1610321613562088,-0.0009281930641573122,0.1456843023348749,0.1482161622950757,-0.01627605208549121,-0.012815999061133093,21.25855217336442,0.1541874043134132,0.1570580013976049,-0.007772950106952892,-0.003974159958603896,48.871922450022986
Green,32217;32240;32251;32221;32266,Centre,0.1745269682760579,0.1757205498743627,0.0011935815983047937,0.1600012802662906,0.163603362832794,-0.014525688009767307,-0.012117187041568694,16.580976863740272,0.1687390977323206,0.1735094232933676,-0.005787870543737306,-0.002211126580995093,61.79723502303251
Green,32217;32240;32251;32221;32266,FDP,0.0432396605160585,0.0432129883015713,-2.6672214487197254e-05,0.0374164492881217,0.039058124089814,-0.005823211227936803,-0.0041548642117573,28.649948471311205,0.041653330559427,0.042608195838072,-0.0015863299566315006,-0.0006047924634993013,61.87473728457158
Green,32217;32240;32251;32221;32266,SVP,0.0466470359168066,0.0468524119683587,0.00020537605155210303,0.0429182603314859,0.0446839609305437,-0.0037287755853206983,-0.002168451037815003,41.845493562238545,0.0453434314337414,0.0463383050341167,-0.0013036044830651988,-0.0005141069342420035,60.56265984655326
GLP,32222;32242;32233;32214;32237,SP,0.1320314625442013,0.1321054779394033,7.401539520199285e-05,0.1180125466096945,0.1204470529870193,-0.014018915934506812,-0.011658424952384006,16.837899543377553,0.1257521564485364,0.1300950597724254,-0.006279306095664905,-0.0020104181669779175,67.98343421471576
GLP,32222;32242;32233;32214;32237,Green,0.1353834930998901,0.1347600300862486,-0.0006234630136414954,0.1417601527784309,0.1404632163489866,0.006376659678540814,0.005703186262737997,10.561539265914366,0.1385374824630075,0.1363970372504054,0.003153989363117421,0.0016370071641567951,48.097251585567555
GLP,32222;32242;32233;32214;32237,GLP,0.1619603544203661,0.1610321613562088,-0.0009281930641573122,0.2035936808189088,0.1917138764862794,0.0416333263985427,0.03068171513007062,26.304915354674662,0.1794099839433006,0.1673941513167851,0.017449629522934496,0.0063619899605762975,63.54083075394483
GLP,32222;32242;32233;32214;32237,Centre,0.1745269682760579,0.1757205498743627,0.0011935815983047937,0.1668727095235754,0.1688497874224422,-0.00765425875248249,-0.0068707624519205035,10.236083282497821,0.170839534623194,0.1737828134918635,-0.003687433652863892,-0.0019377363824991944,47.45027124774904
GLP,32222;32242;32233;32214;32237,FDP,0.0432396605160585,0.0432129883015713,-2.6672214487197254e-05,0.0449066739215131,0.0447286368898108,0.0016670134054546024,0.0015156485882394932,9.079999999989873,0.0444865865433389,0.0439158011533112,0.0012469260272804025,0.0007028128517398979,43.636363636360855
GLP,32222;32242;32233;32214;32237,SVP,0.0466470359168066,0.0468524119683587,0.00020537605155210303,0.0483953995764485,0.0480373250969567,0.0017483636596418994,0.001184913128597996,32.227307398925774,0.0474858770624319,0.0471531411867031,0.0008388411456253034,0.0003007292183443977,64.14944356118548
Centre,32245;32228;32262;32236;32239,SP,0.1320314625442013,0.1321054779394033,7.401539520199285e-05,0.1085319079701958,0.1145731645515612,-0.023499554574005516,-0.0175323133878421,25.39299699222467,0.1235710361088403,0.1275085217725225,-0.008460426435361018,-0.0045969561668808,45.665195460273026
Centre,32245;32228;32262;32236;32239,Green,0.1353834930998901,0.1347600300862486,-0.0006234630136414954,0.1115271976571182,0.1177804983436556,-0.023856295442771888,-0.016979531742592993,28.82578192693558,0.1274458420684789,0.1305271496471197,-0.007937651031411197,-0.004232880439128894,46.67338709678257
