alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.627018214141275,0.6363636363636364,0.3846153846153846,0.934072538743575,0.8307407756584035
0.1,0.6375742262733215,0.6363636363636364,0.4117647058823529,0.940438513169459,0.839921699572889
0.2,0.6481833753685,0.6363636363636364,0.4117647058823529,0.947633637925165,0.8506947224968568
0.3,0.6731955209105008,0.6744186046511628,0.44,0.959789876251139,0.8708132358790219
0.4,0.71309174576813,0.7142857142857143,0.5,0.9732927107879032,0.8967686834147319
0.5,0.7134773097768672,0.7142857142857143,0.5,0.9748872156634446,0.9001356326539692
0.6,0.6976196668059451,0.7142857142857143,0.4693877551020408,0.969669924780692,0.8893064672767701
0.7,0.6948790467350541,0.7142857142857143,0.4693877551020408,0.9698375363820112,0.8896648582563942
0.8,0.6834106059632743,0.6744186046511628,0.4693877551020408,0.9657185187148464,0.8816998872294802
0.9,0.6752607125593483,0.6744186046511628,0.44,0.9624185850371502,0.8756206158664692
1.0,0.6694109534517685,0.6744186046511628,0.44,0.9597271832612684,0.8708481535115958
1.1,0.6649335620488954,0.6744186046511628,0.44,0.95748950740475,0.8669831919609959
1.2,0.6611627973197887,0.6744186046511628,0.44,0.9556065685592636,0.8637963287780859
1.3,0.658175125161313,0.6744186046511628,0.44,0.9540011356787363,0.8611207686881732
1.4,0.6553978430882501,0.6744186046511628,0.44,0.95261232038435,0.8588302722764908
1.5,0.652922713529911,0.6744186046511628,0.4117647058823529,0.9513888096629816,0.8568366552127904
1.8,0.6475276933157155,0.6363636363636364,0.4117647058823529,0.9485446897187668,0.8522836831466714
2.1,0.6441521480061076,0.6363636363636364,0.4117647058823529,0.9464939872766538,0.8490862386429275
2.4,0.6417033395028203,0.6363636363636364,0.4117647058823529,0.9449343785845572,0.8466944815234098
2.7,0.6399075801051465,0.6363636363636364,0.4117647058823529,0.9437193676433248,0.844844934630046
3.0,0.6385060665243677,0.6363636363636364,0.4117647058823529,0.9427498834247364,0.8433890161395063
