model,model_display,clone_type,clone_type_display,alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank,avg_composite_rank,overall_rank,ordering_accuracy,negation_invariance,topic_coherence
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.01,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.1,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.2,0.4544321301475159,0.4117647058823529,0.2857142857142857,0.9054441699286866,0.7771404248932369,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.3,0.4677104767774885,0.44,0.2857142857142857,0.91072407103447,0.7839131651792962,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.4,0.4983641955953122,0.4693877551020408,0.3090909090909091,0.920616402817516,0.7988378901049442,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.5,0.5305054234354901,0.5,0.3333333333333333,0.9298535850126466,0.8137276849622204,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.6,0.5674617147159035,0.5319148936170213,0.3846153846153846,0.9422755906230248,0.8334315965600279,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.7,0.5972600573993159,0.5652173913043478,0.4117647058823529,0.9510239101673944,0.8484724080246154,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.8,0.6190241445963863,0.6,0.44,0.9581833813131136,0.8608455808209703,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
bge_m3,BGE-M3,easy_paraphrase,Easy Paraphrase,0.9,0.6196685827078257,0.6,0.44,0.959207013711616,0.8624179638260857,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,0.7,1.2,0.5,5,5,5,5.0,5.333333333333334,5,88.09523809523809,0.3204629826897104,0.6741154724534846
