model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.6232318462585937,0.9620613193420368,0.8674155419889499,0.3,"[0.3, 0.4]",0.3,0.4,0.10000000000000003,1,1,1,1.0
Qwen3,0.6105456965570593,0.9594266354542708,0.8615103733388324,0.6,"[0.5, 0.8]",0.5,0.8,0.30000000000000004,2,2,2,2.0
SBERT,0.5859682194910624,0.9544212425828144,0.8520081324627972,1.1,"[0.8, 1.4]",0.8,1.4,0.5999999999999999,3,3,3,3.0
GTE,0.5823652848188365,0.9516189818926366,0.8478721143622722,0.7,"[0.6, 1.1]",0.6,1.1,0.5000000000000001,4,4,4,4.0
BGE-M3,0.5764822678551981,0.947769613832888,0.8414370600878381,0.9,"[0.7, 1.2]",0.7,1.2,0.5,5,5,5,5.0
E5,0.5390419459857203,0.9375769450405904,0.8240206647580716,0.5,"[0.4, 0.8]",0.4,0.8,0.4,6,6,6,6.0
E5-Asym,0.5288804258864459,0.9326828539476512,0.8169710205554793,0.6,"[0.5, 1.0]",0.5,1.0,0.5,7,7,7,7.0
