party,mini_baseline,aug_baseline,mini_crw_E5-INSTRUCT_α0.3,aug_crw_E5-INSTRUCT_α0.3,mini_crw_E5-INSTRUCT_α0.4,aug_crw_E5-INSTRUCT_α0.4,mini_crw_ANSWER-CORR_α0.3,aug_crw_ANSWER-CORR_α0.3,mini_crw_ANSWER-CORR_α0.4,aug_crw_ANSWER-CORR_α0.4,mini_crw_QWEN3_α0.6,aug_crw_QWEN3_α0.6
SP,0.12502733901984497,0.12513669509924377,0.12340833560046827,0.12465459482238661,0.12383909186443727,0.12524605117864201,0.12449922917299738,0.12513669509924377,0.12415782482756069,0.12484196712915942,0.12283755021044077,0.12341433684872875
Green,0.12615157286048573,0.13049580979509803,0.12656299176895097,0.13057449282783445,0.1257254842340505,0.13074452819519164,0.12597286902342072,0.13049580979509803,0.12635828252276182,0.13053581811682854,0.12598487151993987,0.13056782477421355
GLP,0.14510684889122624,0.15137748651718191,0.14428401107429364,0.15042328804389932,0.14482612383374752,0.15056064994850982,0.14479144995491405,0.15137748651718191,0.1451768634542554,0.15132614250429433,0.1452022020580183,0.15134881388660903
Centre,0.1809242989208312,0.1916285253999367,0.181701793973135,0.19192125295393364,0.18158243581330488,0.19159051749429137,0.18160444039025725,0.1916285253999367,0.1809769765444432,0.19172054453991752,0.18126970409844084,0.19171854412382983
FDP,0.04420986231803266,0.04415451747297174,0.04400181904503196,0.04393247128736519,0.04413117928529523,0.04369642218915272,0.0443032150687381,0.04415451747297174,0.04424186897541736,0.04392913726055426,0.043837118120572914,0.04352171918426102
SVP,0.048710798512760396,0.05390854631097002,0.048858162497802615,0.05412259083223037,0.048766143357821486,0.05421927760974685,0.04882148820288266,0.05390854631097002,0.049217570588018865,0.05412325763759263,0.04918623073599632,0.05468870858472313
