ID1,ID2,abs_r,arccos_dist,signed_r,group,cat1,cat2
32264,32287,0.7754187904946279,0.6834182784170612,0.7754187904946279,cross,Security & military,Federal budget
32245,32285,0.7365356285886426,0.7428621424606965,0.7365356285886426,cross,Energy & transport,Federal budget
32268,32272,0.6546283329468073,0.8571054660710772,0.6546283329468073,within-mini,Security & military,Foreign trade & foreign policy
32219,32281,0.6047148969166442,0.921388478959354,0.6047148969166442,cross,Welfare state & family,Federal budget
32228,32231,0.6015069591483531,0.9254101854448004,0.6015069591483531,within-mini,Immigration & integration,Immigration & integration
32276,32281,0.5911157519214267,0.938354885437396,0.5911157519214267,within-full-only,Values,Federal budget
32215,32281,0.5883191104768417,0.9418177527610601,0.5883191104768417,cross,Welfare state & family,Federal budget
32265,32266,0.5404606130766285,0.9998118571227981,0.5404606130766285,within-full-only,Security & military,Security & military
32271,32280,0.5381516549966728,1.002553732028066,0.5381516549966728,within-full-only,Foreign trade & foreign policy,Values
32238,32276,0.5373608393990482,1.003491717229645,0.5373608393990482,cross,Finances & taxes,Values
32219,32276,0.531475633739598,1.0104546742957647,0.531475633739598,cross,Welfare state & family,Values
32281,32288,0.5263382857160521,1.0165080349594728,0.5263382857160521,within-full-only,Federal budget,Federal budget
32266,32273,0.5248628269936205,1.0182423766990443,-0.5248628269936205,cross,Security & military,Foreign trade & foreign policy
32215,32219,0.5230902377421919,1.020323534241735,0.5230902377421919,within-mini,Welfare state & family,Welfare state & family
32240,32281,0.523065002934338,1.0203531426549226,0.523065002934338,cross,Economy & labour,Federal budget
32280,32285,0.5230520968355122,1.0203682853840206,-0.5230520968355122,within-full-only,Values,Federal budget
32246,32280,0.520657618508848,1.0231753003082336,0.520657618508848,cross,Energy & transport,Values
32228,32234,0.518528683063254,1.025666992956426,0.518528683063254,within-mini,Immigration & integration,Society & ethics
32244,32271,0.5154741621402384,1.029235426943536,0.5154741621402384,cross,Economy & labour,Foreign trade & foreign policy
32246,32285,0.5143673699451273,1.0305265417148535,-0.5143673699451273,cross,Energy & transport,Federal budget
32275,32281,0.5124398835272699,1.0327726448639305,-0.5124398835272699,within-full-only,Values,Federal budget
32228,32262,0.5092954101252463,1.0364304622391436,0.5092954101252463,cross,Immigration & integration,"Democracy, Media & Digitalization"
32219,32240,0.5068782485376093,1.0392368558078862,0.5068782485376093,within-mini,Welfare state & family,Economy & labour
32244,32281,0.5059991510867609,1.0402563641345985,0.5059991510867609,cross,Economy & labour,Federal budget
32255,32280,0.5049863102121457,1.0414302222281346,0.5049863102121457,within-full-only,Nature conservation,Values
32246,32247,0.5048094688272365,1.041635094415133,-0.5048094688272365,cross,Energy & transport,Energy & transport
32268,32269,0.5033790835340001,1.043291306872017,-0.5033790835340001,cross,Security & military,Foreign trade & foreign policy
32276,32280,0.5028861409091305,1.043861704210307,0.5028861409091305,within-full-only,Values,Values
32227,32281,0.5027990972468027,1.0439624051350673,0.5027990972468027,cross,Education,Federal budget
32269,32272,0.5021468385600643,1.0447168164922904,-0.5021468385600643,cross,Foreign trade & foreign policy,Foreign trade & foreign policy
32275,32276,0.5018855320354384,1.0450189544832467,-0.5018855320354384,within-full-only,Values,Values
32247,32280,0.5004789315541258,1.0466444403301471,-0.5004789315541258,within-full-only,Energy & transport,Values
32271,32281,0.49948301124736055,1.0477944155833696,0.49948301124736055,within-full-only,Foreign trade & foreign policy,Federal budget
32254,32255,0.4958920093246337,1.0519345902324642,0.4958920093246337,within-full-only,Nature conservation,Nature conservation
32228,32281,0.4950720010932771,1.052878627887599,0.4950720010932771,cross,Immigration & integration,Federal budget
32269,32273,0.493231942927774,1.0549951572335388,-0.493231942927774,cross,Foreign trade & foreign policy,Foreign trade & foreign policy
32231,32262,0.4924656208133668,1.0558758709101599,0.4924656208133668,cross,Immigration & integration,"Democracy, Media & Digitalization"
32230,32281,0.4887294242321213,1.0601635240400067,-0.4887294242321213,cross,Immigration & integration,Federal budget
32219,32271,0.4879742927612065,1.061028858679792,0.4879742927612065,cross,Welfare state & family,Foreign trade & foreign policy
32218,32281,0.4879272888898212,1.061082708405465,0.4879272888898212,within-full-only,Welfare state & family,Federal budget
32228,32230,0.4863514083630757,1.0628871709867096,-0.4863514083630757,within-mini,Immigration & integration,Immigration & integration
32280,32281,0.4854009275380953,1.0639746433395576,0.4854009275380953,within-full-only,Values,Federal budget
32234,32281,0.48125174898043177,1.0687141854611237,0.48125174898043177,cross,Society & ethics,Federal budget
32240,32271,0.4792684915418645,1.070975272222987,0.4792684915418645,cross,Economy & labour,Foreign trade & foreign policy
32228,32279,0.47771360009785535,1.0727460332175285,-0.47771360009785535,cross,Immigration & integration,Values
32234,32262,0.4762938552944234,1.0743613967872618,0.4762938552944234,cross,Society & ethics,"Democracy, Media & Digitalization"
32219,32275,0.4755648893953535,1.0751902536510358,-0.4755648893953535,cross,Welfare state & family,Values
32286,32287,0.47538620441463086,1.0753933673302472,0.47538620441463086,within-full-only,Federal budget,Federal budget
32219,32227,0.4720513115662722,1.0791801128297933,0.4720513115662722,within-mini,Welfare state & family,Education
32228,32229,0.47044679275710877,1.0809992952319614,0.47044679275710877,cross,Immigration & integration,Immigration & integration
32219,32244,0.4687743551603876,1.082893607096521,0.4687743551603876,within-mini,Welfare state & family,Economy & labour
32231,32281,0.46538660737610826,1.0867249742779903,0.46538660737610826,cross,Immigration & integration,Federal budget
32240,32244,0.4635272316558515,1.0888245512211785,0.4635272316558515,within-mini,Economy & labour,Economy & labour
32253,32254,0.4634857195781887,1.0888713996363637,0.4634857195781887,cross,Nature conservation,Nature conservation
32230,32288,0.4622383465811482,1.0902785865694662,-0.4622383465811482,cross,Immigration & integration,Federal budget
32240,32276,0.4622371522106449,1.090279933468115,0.4622371522106449,cross,Economy & labour,Values
32255,32271,0.4621158887175637,1.0904166781020341,0.4621158887175637,within-full-only,Nature conservation,Foreign trade & foreign policy
32215,32276,0.4617637015075856,1.0908137721750577,0.4617637015075856,cross,Welfare state & family,Values
32245,32280,0.46110100869785703,1.091560741535684,-0.46110100869785703,cross,Energy & transport,Values
32265,32273,0.4600844533300538,1.0927060121458994,-0.4600844533300538,cross,Security & military,Foreign trade & foreign policy
32247,32285,0.45808965179224037,1.0949514217110412,0.45808965179224037,within-full-only,Energy & transport,Federal budget
32230,32279,0.45762931778132304,1.0954692184445642,0.45762931778132304,cross,Immigration & integration,Values
32228,32288,0.4551840771624443,1.0982173876170385,0.4551840771624443,cross,Immigration & integration,Federal budget
32241,32271,0.4518191369938426,1.101992897418727,0.4518191369938426,cross,Economy & labour,Foreign trade & foreign policy
32279,32281,0.4513683001144922,1.1024981932237838,-0.4513683001144922,within-full-only,Values,Federal budget
32245,32246,0.4513312372672044,1.1025397273380035,-0.4513312372672044,within-mini,Energy & transport,Energy & transport
32231,32288,0.451185342794188,1.1027032140643336,0.451185342794188,cross,Immigration & integration,Federal budget
32268,32273,0.4485864478414352,1.105613232182511,0.4485864478414352,within-mini,Security & military,Foreign trade & foreign policy
32234,32279,0.4479145382603109,1.106364886285634,-0.4479145382603109,cross,Society & ethics,Values
32271,32276,0.44785422542588627,1.1064323434033578,0.44785422542588627,within-full-only,Foreign trade & foreign policy,Values
32240,32275,0.44712819116840685,1.1072442004604612,-0.44712819116840685,cross,Economy & labour,Values
32256,32280,0.44644680444335627,1.1080058327011069,0.44644680444335627,cross,Nature conservation,Values
32275,32280,0.4463503214976502,1.108113654844158,-0.4463503214976502,within-full-only,Values,Values
32234,32246,0.44554471743310653,1.109013711726707,0.44554471743310653,within-mini,Society & ethics,Energy & transport
32230,32234,0.44476102879436497,1.1098888970153953,-0.44476102879436497,within-mini,Immigration & integration,Society & ethics
32228,32269,0.4435336142968314,1.111258850138317,0.4435336142968314,cross,Immigration & integration,Foreign trade & foreign policy
32219,32280,0.44194443097071634,1.113031205864453,0.44194443097071634,cross,Welfare state & family,Values
32228,32276,0.4416737303164817,1.113332953618638,0.4416737303164817,cross,Immigration & integration,Values
32218,32219,0.4411946569540885,1.1138668628741013,0.4411946569540885,cross,Welfare state & family,Welfare state & family
32272,32273,0.44113264877727104,1.1139359584100177,0.44113264877727104,within-mini,Foreign trade & foreign policy,Foreign trade & foreign policy
32230,32231,0.4409805345885759,1.1141054488818842,-0.4409805345885759,within-mini,Immigration & integration,Immigration & integration
32254,32280,0.4406608661207138,1.1144615876817636,0.4406608661207138,within-full-only,Nature conservation,Values
32271,32288,0.44030932834885317,1.1148531598234606,0.44030932834885317,within-full-only,Foreign trade & foreign policy,Federal budget
32238,32275,0.4402518077279458,1.1149172239372003,-0.4402518077279458,cross,Finances & taxes,Values
32271,32275,0.4401862257947141,1.114990263955615,-0.4401862257947141,within-full-only,Foreign trade & foreign policy,Values
32276,32285,0.43989678115748665,1.1153125934795447,-0.43989678115748665,within-full-only,Values,Federal budget
