group,n_pairs,abs_r_mean,abs_r_median,abs_r_std,abs_r_min,abs_r_max,abs_r_p25,abs_r_p75,abs_r_p90,abs_r_p95,arccos_dist_mean,arccos_dist_median,arccos_dist_std,arccos_dist_min,arccos_dist_max,arccos_dist_p25,arccos_dist_p75,arccos_dist_p90,arccos_dist_p95
within-mini,435,0.23376642130267697,0.22603614912298278,0.10980086090257146,0.003087196981674562,0.6546283329468073,0.15602928052523993,0.3065817896247581,0.37762824877600587,0.41365950595275186,1.3331610937468286,1.3427897433793754,0.11442433436317917,0.8571054660710772,1.5677091249092991,1.2591964340863968,1.4141268670630966,1.4766652355927747,1.5067010843639197
within-full-only,990,0.16140049168804899,0.1355900519910705,0.11881799063304366,0.00021463059128212227,0.5911157519214267,0.0650513419445708,0.23529154390252993,0.3348002477992426,0.381782313056395,1.4071953331220117,1.4347873366261696,0.12243858918609651,0.938354885437396,1.5705816962019665,1.333277802201188,1.5056990176268092,1.5464946103944575,1.559416756778944
cross,1350,0.19703616589467363,0.18387140521980622,0.12342042039081318,0.00010343468034212889,0.7754187904946279,0.10229910298953525,0.2813453465994932,0.3694166643598806,0.41649411676286036,1.370567530968135,1.3858727560249813,0.12822341003010426,0.6834182784170612,1.5706928921143701,1.285600492144854,1.4683179491083544,1.5330293196503602,1.5538125766975008
all,2775,0.19008061405248375,0.1770774900201462,0.12228282058267945,0.00010343468034212889,0.7754187904946279,0.09446581374400753,0.27399820914067363,0.36025273989661505,0.40475632588070093,1.3777710350910428,1.3927801098126567,0.12666939543998024,0.6834182784170612,1.5706928921143701,1.2932484339660204,1.4761894453699769,1.5361236200599637,1.5550823326543062
