party,mini_baseline,aug_baseline,mini_crw_E5-INSTRUCT_α0.3,aug_crw_E5-INSTRUCT_α0.3,mini_crw_E5-INSTRUCT_α0.4,aug_crw_E5-INSTRUCT_α0.4,mini_crw_ANSWER-CORR_α0.3,aug_crw_ANSWER-CORR_α0.3,mini_crw_ANSWER-CORR_α0.4,aug_crw_ANSWER-CORR_α0.4,mini_crw_QWEN3_α0.6,aug_crw_QWEN3_α0.6
SP,0.12502733901984497,0.11652823787347756,0.12340833560046827,0.11567005937234949,0.12383909186443727,0.11588343708824807,0.12449922917299738,0.11652823787347756,0.12415782482756069,0.11587876945071243,0.12283755021044077,0.11454782594779772
Green,0.12615157286048573,0.16028067171303087,0.12656299176895097,0.16042936930879653,0.1257254842340505,0.16059673745470376,0.12597286902342072,0.16028067171303087,0.12635828252276182,0.1604106987586559,0.12598487151993987,0.16074676866119555
GLP,0.14510684889122624,0.14493347949705904,0.14428401107429364,0.14380257760279883,0.14482612383374752,0.14410797445867757,0.14479144995491405,0.14493347949705904,0.1451768634542554,0.14479011634419042,0.1452022020580183,0.14449205434729503
Centre,0.1809242989208312,0.15755277097635764,0.181701793973135,0.15823224564042018,0.18158243581330488,0.15757010791577328,0.18160444039025725,0.15755277097635764,0.1809769765444432,0.15792751558990326,0.18126970409844084,0.15797485877061643
FDP,0.04420986231803266,0.043934471703451466,0.04400181904503196,0.043541723345126335,0.04413117928529523,0.04339769338689489,0.0443032150687381,0.043934471703451466,0.04424186897541736,0.04365574706205936,0.043837118120572914,0.043135638879557396
SVP,0.048710798512760396,0.04750721483402178,0.048858162497802615,0.047746597959045074,0.048766143357821486,0.04785328681699429,0.04882148820288266,0.04750721483402178,0.049217570588018865,0.047741930321509814,0.04918623073599632,0.04817068616939293
