party,mini_baseline,aug_baseline,delta_attack,mini_crw_E5-INSTRUCT_α0.3,aug_crw_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,mini_crw_E5-INSTRUCT_α0.4,aug_crw_E5-INSTRUCT_α0.4,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,mini_crw_ANSWER-CORR_α1.0,aug_crw_ANSWER-CORR_α1.0,crw_drift_ANSWER-CORR_α1.0,delta_crw_ANSWER-CORR_α1.0,reduction_ANSWER-CORR_α1.0,mini_crw_ANSWER-CORR_α1.1,aug_crw_ANSWER-CORR_α1.1,crw_drift_ANSWER-CORR_α1.1,delta_crw_ANSWER-CORR_α1.1,reduction_ANSWER-CORR_α1.1,mini_crw_ANSWER-CORR_α1.5,aug_crw_ANSWER-CORR_α1.5,crw_drift_ANSWER-CORR_α1.5,delta_crw_ANSWER-CORR_α1.5,reduction_ANSWER-CORR_α1.5,mini_crw_QWEN3_α0.6,aug_crw_QWEN3_α0.6,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
SP,0.12502733901984497,0.11652823787347756,-0.008499101146367413,0.12340833560046827,0.11567005937234949,-0.0016190034193767078,-0.007738276228118776,8.951828024470798,0.12383909186443727,0.11588343708824807,-0.001188247155407704,-0.007955654776189203,6.394162874629206,0.12427651618202878,0.11595278484591431,-0.0007508228378161896,-0.00832373133611447,2.0633924368331225,0.12400379278889645,0.11534332474488025,-0.0010235462309485244,-0.008660468044016198,-1.8986348658499574,0.12569147716057832,0.11600212844271607,0.0006641381407333502,-0.009689348717862256,-14.004393535233595,0.12283755021044077,0.11454782594779772,-0.0021897888094042084,-0.008289724262643045,2.4635179664129314
Green,0.12615157286048573,0.16028067171303087,0.03412909885254514,0.12656299176895097,0.16042936930879653,0.0004114189084652442,0.03386637753984556,0.7697868432878008,0.1257254842340505,0.16059673745470376,-0.00042608862643522816,0.034871253220653264,-2.1745501436021053,0.1264116269517366,0.1605393921935574,0.00026005409125087753,0.03412776524182079,0.003907547427828284,0.12665634451965652,0.16060740634049986,0.0005047716591707885,0.03395106182084334,0.521657581616819,0.1256314646779836,0.1601473106405942,-0.0005201081825021159,0.03451584596261059,-1.1331887540787067,0.12598487151993987,0.16074676866119555,-0.0001667013405458606,0.03476189714125569,-1.8541312545184763
GLP,0.14510684889122624,0.14493347949705904,-0.00017336939416720543,0.14428401107429364,0.14380257760279883,-0.0008228378169325978,-0.00048143347149481874,-177.69230769215363,0.14482612383374752,0.14410797445867757,-0.00028072505747872567,-0.0007181493750699486,-314.23076923100524,0.14528488592292865,0.1449501496311138,0.00017803703170241048,-0.0003347362918148522,-93.07692307675548,0.14527821786930706,0.1454722582297021,0.00017136897808081586,0.00019404036039505357,-11.923076923203713,0.14485746368577035,0.14539957644522536,-0.00024938520545589316,0.0005421127594550101,-212.6923076931166,0.1452022020580183,0.14449205434729503,9.535316679204486e-05,-0.0007101477107232523,-309.6153846153221
Centre,0.1809242989208312,0.15755277097635764,-0.023371527944473558,0.181701793973135,0.15823224564042018,0.0007774950523037893,-0.023469548332714807,-0.4194008559223361,0.18158243581330488,0.15757010791577328,0.0006581368924736819,-0.024012327897531605,-2.7417974322452077,0.1808196104789692,0.15776081424935745,-0.00010468844186201087,-0.02305879622961174,1.3380884450721942,0.18079627229129228,0.15779282090674215,-0.0001280266295389243,-0.023003451384550122,1.5748930099817038,0.1810789977648575,0.1582969257605512,0.00015469884402630196,-0.022782072004306292,2.5221112696084957,0.18126970409844084,0.15797485877061643,0.0003454051776096423,-0.023294845327824415,0.3281027104061307
FDP,0.04420986231803266,0.043934471703451466,-0.00027539061458119185,0.04400181904503196,0.043541723345126335,-0.00020804327300069647,-0.00046009569990562715,-67.07021791767698,0.04413117928529523,0.04339769338689489,-7.868303273742688e-05,-0.0007334858984003392,-166.34382566588513,0.04416185233195561,0.043659747894232465,-4.800998607704804e-05,-0.0005021044377231457,-82.3244552058302,0.04409850582254837,0.04357706402932196,-0.0001113564954842855,-0.0005214417932264126,-89.34624697338,0.044108507902981126,0.04344103573543697,-0.00010135441505153275,-0.0006674721675441544,-142.37288135589944,0.043837118120572914,0.043135638879557396,-0.00037274419745974424,-0.000701479241015518,-154.72154963679955
SVP,0.048710798512760396,0.04750721483402178,-0.001203583678738615,0.048858162497802615,0.047746597959045074,0.00014736398504221898,-0.001111564538757541,7.645429362876732,0.048766143357821486,0.04785328681699429,5.534484506108939e-05,-0.0009128565408271991,24.15512465374282,0.04907220701906313,0.04767458297992943,0.0003614085063027364,-0.0013976240391337033,-16.121883656518786,0.049200233648602064,0.047760600871650925,0.0004894351358416676,-0.0014396327769511386,-19.61218836565719,0.049052202858197676,0.047721259355282215,0.0003414043454372795,-0.0013309435029154604,-10.581717451529538,0.04918623073599632,0.04817068616939293,0.00047543222323592066,-0.0010155445666033894,15.623268698051406
