alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.1,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.2,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.3,0.9900412826094898,1.0,0.945945945945946,0.9999653517194396,0.9983774439969336
0.4,0.9931733422072626,1.0,0.945945945945946,0.9999728638958536,0.9988569381345004
0.5,0.9978401517695404,1.0,1.0,0.999991802222302,0.9996908475180444
0.6,0.9943610826963254,1.0,0.945945945945946,0.9999888746743036,0.9989803746838248
0.7,0.9925659087040865,1.0,0.945945945945946,0.9999850931634782,0.9987105774172824
0.8,0.9932948147097952,1.0,0.945945945945946,0.9999875870243294,0.99887597516246
0.9,0.9766238669604074,1.0,0.945945945945946,0.9999045190362684,0.9952242672118392
1.0,0.8768133345269732,0.8947368421052632,0.7560975609756098,0.997204590243553,0.9689330070221374
1.1,0.7952206760006563,0.8,0.6363636363636364,0.9902850956742856,0.9396715676234914
1.2,0.7456556453301435,0.7560975609756098,0.5652173913043478,0.9821553033476472,0.9164628065872832
1.3,0.7123581820225512,0.7142857142857143,0.5,0.9740159636375773,0.897703608330272
1.4,0.6887213950533815,0.6744186046511628,0.4693877551020408,0.9663183447427204,0.8822588685359919
1.5,0.6710888232753855,0.6744186046511628,0.44,0.9592355681336198,0.8693518868480327
1.8,0.6368106949241904,0.6363636363636364,0.4117647058823529,0.941628584144032,0.8408936177192032
2.1,0.6174333651448561,0.6363636363636364,0.3846153846153846,0.9284624740463604,0.8219586146788946
2.4,0.604635091069852,0.6,0.3584905660377358,0.9184067286379174,0.8084563269004764
2.7,0.5957410561523157,0.6,0.3584905660377358,0.9105247177319358,0.7983855001972455
3.0,0.5890097407531926,0.6,0.3584905660377358,0.9042135550893446,0.7905704531521058
