alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.5403940664453853,0.5319148936170213,0.3090909090909091,0.8486151316171331,0.7291240428220639
0.1,0.5439258460866324,0.5319148936170213,0.3090909090909091,0.8512791793141232,0.7317498880415559
0.2,0.5571887302581744,0.5652173913043478,0.3090909090909091,0.8677670024163895,0.7492589708219723
0.3,0.5965528134954825,0.6,0.3584905660377358,0.9110505939041526,0.7994081462322571
0.4,0.6382764012705985,0.6363636363636364,0.4117647058823529,0.9413124907889996,0.8410585900148592
0.5,0.671768309572648,0.6744186046511628,0.44,0.9583486273044552,0.8685336556469923
0.6,0.6894350046768011,0.7142857142857143,0.4693877551020408,0.9658261242078958,0.8818981471604704
0.7,0.6815545446614909,0.6744186046511628,0.4693877551020408,0.9631165038839218,0.876938883418436
0.8,0.6558197855782719,0.6744186046511628,0.4117647058823529,0.9514123270797696,0.8568835429815778
0.9,0.6533537008792797,0.6744186046511628,0.4117647058823529,0.951497416261376,0.8561080347370874
1.0,0.642803009848826,0.6363636363636364,0.4117647058823529,0.9463046142298636,0.847436522585061
1.1,0.628552635558398,0.6363636363636364,0.3846153846153846,0.9376139171257492,0.8343470930376793
1.2,0.6181016219510486,0.6363636363636364,0.3846153846153846,0.9302349744803378,0.8238313303713577
1.3,0.6098102004814914,0.6,0.3584905660377358,0.9239171868980928,0.8151876435439294
1.4,0.6033533978369986,0.6,0.3584905660377358,0.91846589512467,0.8080042028646895
1.5,0.5980116747570305,0.6,0.3584905660377358,0.9137242538877008,0.8019020398302493
1.8,0.5864189074484687,0.6,0.3333333333333333,0.9026338342457856,0.7881634767945652
2.1,0.5786898115313515,0.5652173913043478,0.3333333333333333,0.8947243771395955,0.7787828321513187
2.4,0.5733698343338129,0.5652173913043478,0.3333333333333333,0.8888201540853022,0.7719624558608399
2.7,0.5693102290410202,0.5652173913043478,0.3333333333333333,0.8842397137479233,0.7667885797490606
3.0,0.5661320928291788,0.5652173913043478,0.3333333333333333,0.8805870891364103,0.7627170926374299
