model,clone_type,alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
bge_m3,easy_paraphrase,0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
bge_m3,easy_paraphrase,0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
bge_m3,easy_paraphrase,0.2,0.4423465034983165,0.4117647058823529,0.2631578947368421,0.89805615051975,0.7669071299375563
bge_m3,easy_paraphrase,0.3,0.4519593428731104,0.4117647058823529,0.2857142857142857,0.9025415118786456,0.772199160470834
bge_m3,easy_paraphrase,0.4,0.4718712810668246,0.44,0.2857142857142857,0.9107000893882298,0.7834451069832691
bge_m3,easy_paraphrase,0.5,0.4947080062627425,0.4693877551020408,0.3090909090909091,0.9191866030517244,0.7957022093073721
bge_m3,easy_paraphrase,0.6,0.5220768052497116,0.5,0.3333333333333333,0.9306937932980608,0.812293981345236
bge_m3,easy_paraphrase,0.7,0.5530256436058001,0.5319148936170213,0.3846153846153846,0.9413254780058556,0.8293216812899421
bge_m3,easy_paraphrase,0.8,0.5820660939877971,0.5652173913043478,0.4117647058823529,0.9508041189601812,0.8452143072361133
bge_m3,easy_paraphrase,0.9,0.5875593109382194,0.5652173913043478,0.4117647058823529,0.9526218501747988,0.848473896144833
bge_m3,easy_paraphrase,1.0,0.5723465836898454,0.5652173913043478,0.3846153846153846,0.948600285615378,0.8412179156413448
bge_m3,easy_paraphrase,1.1,0.5600248077390549,0.5319148936170213,0.3846153846153846,0.9448540412126948,0.834862757192512
bge_m3,easy_paraphrase,1.2,0.5649471428418995,0.5652173913043478,0.3846153846153846,0.947339942624726,0.8387503292021198
bge_m3,easy_paraphrase,1.3,0.5539092917283869,0.5319148936170213,0.3846153846153846,0.9440244926037756,0.8331190422973429
bge_m3,easy_paraphrase,1.4,0.5442589435660458,0.5319148936170213,0.3584905660377358,0.9410130786184266,0.8281379556363159
bge_m3,easy_paraphrase,1.5,0.5359237142274498,0.5319148936170213,0.3584905660377358,0.9383452280057216,0.8238262543873047
bge_m3,easy_paraphrase,1.8,0.5176587833434813,0.5,0.3333333333333333,0.9319551939404964,0.813852842916437
bge_m3,easy_paraphrase,2.1,0.5051766726349434,0.4693877551020408,0.3333333333333333,0.9272620566682068,0.8068080572983659
bge_m3,easy_paraphrase,2.4,0.4962455918789464,0.4693877551020408,0.3090909090909091,0.923677278070345,0.8015690512824069
bge_m3,easy_paraphrase,2.7,0.4893510962379792,0.4693877551020408,0.3090909090909091,0.9208564256658694,0.7975223916511448
bge_m3,easy_paraphrase,3.0,0.4839002166214691,0.4693877551020408,0.3090909090909091,0.918573693339714,0.7942907299134847
e5,easy_paraphrase,0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
e5,easy_paraphrase,0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
e5,easy_paraphrase,0.2,0.4498463567625582,0.4117647058823529,0.2857142857142857,0.9021814279974082,0.7718368784480697
e5,easy_paraphrase,0.3,0.4795593384824653,0.44,0.3090909090909091,0.915847735260234,0.7898910181630788
e5,easy_paraphrase,0.4,0.5310616037234281,0.5,0.3584905660377358,0.9362964349116452,0.8201045114725924
e5,easy_paraphrase,0.5,0.5555011477957842,0.5319148936170213,0.3846153846153846,0.946007822835606,0.8351824471523068
e5,easy_paraphrase,0.6,0.5343086870364856,0.5,0.3584905660377358,0.938925118869508,0.8236492752834481
e5,easy_paraphrase,0.7,0.5333207633039743,0.5,0.3584905660377358,0.9393372567800224,0.8246477877011468
e5,easy_paraphrase,0.8,0.5198891953434461,0.5,0.3333333333333333,0.9343375426186644,0.8169182401247328
e5,easy_paraphrase,0.9,0.5097284027551756,0.5,0.3333333333333333,0.9303849374353964,0.8109754223235844
e5,easy_paraphrase,1.0,0.5020822180061171,0.4693877551020408,0.3333333333333333,0.927189369198669,0.8062723588008955
e5,easy_paraphrase,1.1,0.4959609277918707,0.4693877551020408,0.3090909090909091,0.9245499438182624,0.8024609072175913
e5,easy_paraphrase,1.2,0.4905879614416821,0.4693877551020408,0.3090909090909091,0.9223353467061376,0.7993043721316743
e5,easy_paraphrase,1.3,0.4863289598164446,0.4693877551020408,0.3090909090909091,0.920452923972788,0.7966538308700273
e5,easy_paraphrase,1.4,0.4827158683680997,0.4693877551020408,0.3090909090909091,0.918834068426659,0.7943978582301389
e5,easy_paraphrase,1.5,0.4795212940671778,0.44,0.3090909090909091,0.9174277592843316,0.7924515080001293
e5,easy_paraphrase,1.8,0.4725558698050002,0.44,0.2857142857142857,0.9141293567646191,0.7879408384335123
