model,clone_type,baseline_jaccard,baseline_spearman,baseline_kendall,optimal_alpha,peak_jaccard,peak_spearman,peak_kendall,jaccard_at_0.6,improvement,plateau_start,plateau_end,plateau_width
E5,Negation,0.627018214141275,0.934072538743575,0.8307407756584035,0.5,0.7134773097768672,0.9748872156634446,0.9001356326539692,0.6976196668059451,0.08645909563559218,0.4,0.8,0.4
E5,Easy Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.5,0.696647682716938,0.9696085786585826,0.8889590266071643,0.6793623317558943,0.06962946857566299,0.4,1.0,0.6
E5,Neg + Easy,0.627018214141275,0.934072538743575,0.8307407756584035,0.5,0.6770547723320284,0.9630192619170952,0.876541149931513,0.6663394677963446,0.050036558190753366,0.4,1.5,1.1
E5,Neg + Hard,0.627018214141275,0.934072538743575,0.8307407756584035,0.5,0.6522014338580127,0.9510746198678012,0.8560699905452372,0.6445586470362559,0.025183219716737648,0.01,3.0,2.99
E5,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.5,0.6973424595526199,0.9698203368743612,0.8894577040067805,0.6814696186746744,0.07032424541134485,0.4,1.0,0.6
E5-Instruct,Negation,0.627018214141275,0.934072538743575,0.8307407756584035,0.4,0.7718802578525649,0.986379541788916,0.9283994922289824,0.7301256758459165,0.14486204371128986,0.3,0.5,0.2
E5-Instruct,Easy Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.3,0.7911452844970631,0.9894190096736049,0.937406411192284,0.7316541879538141,0.1641270703557881,0.3,0.4,0.10000000000000003
E5-Instruct,Hard Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.665242771098467,0.95385932626709,0.8601914431494624,0.665242771098467,0.03822455695719196,0.2,3.0,2.8
E5-Instruct,Neg + Easy,0.627018214141275,0.934072538743575,0.8307407756584035,0.4,0.7663413390005367,0.9854207481822692,0.925726548376773,0.7289023757674901,0.13932312485926168,0.3,0.6,0.3
E5-Instruct,Neg + Hard,0.627018214141275,0.934072538743575,0.8307407756584035,0.4,0.6512158098926847,0.9484866115519506,0.8512911623326809,0.6503140001167153,0.024197595751409673,0.01,3.0,2.99
E5-Instruct,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.3,0.7692433835624813,0.9860095714703394,0.927311216860888,0.7243415335307131,0.14222516942120633,0.3,0.5,0.2
Jina v3,Negation,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.789536288582775,0.9891936418832664,0.93661176679654,0.789536288582775,0.16251807444150002,0.5,0.7,0.19999999999999996
Jina v3,Easy Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7679460767780506,0.9858001140825006,0.9266667018645132,0.7679460767780506,0.1409278626367756,0.5,0.7,0.19999999999999996
Jina v3,Hard Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.6597920871457581,0.9529687270182324,0.859295731299997,0.6597920871457581,0.03277387300448309,0.01,3.0,2.99
Jina v3,Neg + Easy,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7545185067216351,0.9833939795345288,0.9202615623102594,0.7545185067216351,0.1275002925803601,0.5,1.0,0.5
Jina v3,Neg + Hard,0.627018214141275,0.934072538743575,0.8307407756584035,0.9,0.6549476938788693,0.9522854550121204,0.8573119413305303,0.6524455879526828,0.027929479737594298,0.01,3.0,2.99
Jina v3,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7746156785769934,0.9869292842889008,0.9298816949129104,0.7746156785769934,0.14759746443571842,0.5,0.9,0.4
Qwen3,Negation,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.8195583177379809,0.9927139107467762,0.9486006650885808,0.8195583177379809,0.19254010359670592,0.5,0.8,0.30000000000000004
Qwen3,Easy Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7767738352460728,0.9870603807234698,0.9303887795472726,0.7767738352460728,0.1497556211047978,0.5,0.8,0.30000000000000004
Qwen3,Hard Para.,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.6668074877775468,0.9557785773584084,0.8639916537700136,0.6668074877775468,0.03978927363627183,0.4,3.0,2.6
Qwen3,Neg + Easy,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7669885803282979,0.985405969258737,0.9254795758825136,0.7669885803282979,0.13997036618702285,0.5,0.8,0.30000000000000004
Qwen3,Neg + Hard,0.627018214141275,0.934072538743575,0.8307407756584035,0.7,0.6369351695976041,0.9400435346731096,0.8385813877991912,0.636070184623344,0.00991695545632909,0.01,3.0,2.99
Qwen3,Mixed,0.627018214141275,0.934072538743575,0.8307407756584035,0.6,0.7714653166330024,0.986192080337172,0.9278720209648916,0.7714653166330024,0.14444710249172743,0.5,0.8,0.30000000000000004
