model,avg_peak_jaccard,avg_improvement,worst_improvement,model_optimal_alpha,model_plateau_start,model_plateau_end,model_plateau_width,avg_clone_plateau_width,model_score,rank
Qwen3,0.7397547845534175,0.11273657041214248,0.00991695545632909,0.6,0.5,1.0,0.5,1.1316666666666666,0.05636828520607124,1
Jina v3,0.7335593886140136,0.10654117447273859,0.027929479737594298,0.6,0.5,1.0,0.5,1.2133333333333336,0.05327058723636929,2
E5,0.6873447316472932,0.06032651750601821,0.025183219716737648,0.5,0.4,1.1,0.7000000000000001,1.138,0.04222856225421275,3
E5-Instruct,0.7358448076506329,0.10882659350935793,0.024197595751409673,0.4,0.3,0.6,0.3,1.0983333333333334,0.03264797805280738,4
