alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.5403940664453853,0.5319148936170213,0.3090909090909091,0.8486151316171331,0.7291240428220639
0.1,0.5403940664453853,0.5319148936170213,0.3090909090909091,0.8486151316171331,0.7291240428220639
0.2,0.5438102501046574,0.5319148936170213,0.3090909090909091,0.8512752286742438,0.7317166306333798
0.3,0.5474245943869664,0.5319148936170213,0.3090909090909091,0.858146059429698,0.7387695617898085
0.4,0.5818289603273923,0.5652173913043478,0.3333333333333333,0.8974875712172282,0.7827983639820915
0.5,0.6148633938888596,0.6,0.3846153846153846,0.9250201505220804,0.8179720768654007
0.6,0.6391898567952413,0.6363636363636364,0.4117647058823529,0.9410299245899416,0.8404210039364154
0.7,0.634403746396195,0.6363636363636364,0.4117647058823529,0.9384477102072196,0.8360885743909383
0.8,0.625872416448938,0.6363636363636364,0.3846153846153846,0.9328309932765464,0.8280856094599992
0.9,0.6141043902022189,0.6,0.3846153846153846,0.9241349976886812,0.8161140186215239
1.0,0.6141046786982869,0.6,0.3846153846153846,0.923458234792958,0.8152169096056325
1.1,0.613230235720952,0.6,0.3846153846153846,0.924069926214861,0.816200583937974
1.2,0.6051814014439787,0.6,0.3584905660377358,0.9176753059306788,0.807733347829153
1.3,0.5989923667175665,0.6,0.3584905660377358,0.9122504794104326,0.8007529555892495
1.4,0.5938646246020383,0.6,0.3584905660377358,0.9075978130304856,0.7949037631883791
1.5,0.5895479885380399,0.6,0.3584905660377358,0.9035688699215334,0.7899292411762556
1.8,0.5800751543127163,0.5652173913043478,0.3333333333333333,0.8941898127062506,0.778703556390937
2.1,0.5736065741963469,0.5652173913043478,0.3333333333333333,0.8875225028500732,0.7709589534204062
2.4,0.5690470705755475,0.5652173913043478,0.3333333333333333,0.8825479758190375,0.7653058222651588
2.7,0.5657141585851938,0.5652173913043478,0.3333333333333333,0.878692222795987,0.760996313165913
3.0,0.5629929783785971,0.5652173913043478,0.3333333333333333,0.87562313765186,0.7576057212964471
