alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.1,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.2,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.3,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.4,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831
0.5,0.4694449255842343,0.44,0.2857142857142857,0.9118221638605752,0.7851485617544939
0.6,0.4886588680640225,0.4693877551020408,0.3090909090909091,0.9202050583636928,0.796836080029001
0.7,0.485306299187583,0.4693877551020408,0.3090909090909091,0.9190648430717068,0.7951730939763437
0.8,0.4864757584733872,0.4693877551020408,0.3090909090909091,0.9197549241115216,0.7963747219140699
0.9,0.4823480653418593,0.44,0.3090909090909091,0.9180169884015462,0.7939646664711386
1.0,0.4790738413732873,0.44,0.3090909090909091,0.9166371980876742,0.7920551917402987
1.1,0.4763321592064227,0.44,0.2857142857142857,0.9155168231879977,0.7905396960654737
1.2,0.474178048694954,0.44,0.2857142857142857,0.9145863771391318,0.789284395133496
1.3,0.4724044912691261,0.44,0.2857142857142857,0.9138053372844944,0.7882295813203615
1.4,0.4708821234957341,0.44,0.2857142857142857,0.9131381921391134,0.7873328548187191
1.5,0.4695805541478288,0.44,0.2857142857142857,0.9125614270426812,0.7865595606001056
1.8,0.4665820226587585,0.44,0.2857142857142857,0.9112232787375392,0.7847895006941424
2.1,0.4645795424608604,0.44,0.2857142857142857,0.9102750785717598,0.7835436442513772
2.4,0.4630802416301518,0.44,0.2857142857142857,0.9095679235805556,0.7826203079562963
2.7,0.4618104720261654,0.44,0.2857142857142857,0.9090203490623578,0.7819204391359724
3.0,0.4609452153537837,0.44,0.2857142857142857,0.9085845038054972,0.7813525895624722
