party,original,original_crw,crw_drift,delta_attack_worst_case,delta_crw_worst_case,reduction_worst_case,delta_attack_realistic,delta_crw_realistic,reduction_realistic
SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.0453420978230063,0.036309552386888794,19.92088118943286,0.017646337104779197,0.010697558425481396,39.37802297461408
Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.0219719034892511,0.019007953654353316,13.489727170646738,0.009916729346367115,0.005547153807989896,44.06266810113119
GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.0416333263985427,0.0324414144808689,22.078254880915647,0.017449629522934496,0.008393745899144406,51.89728304482173
Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.04758923189355618,0.03347562959761549,29.657134049796973,0.018261131648712486,0.010594203594344986,41.98495581684316
FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.014409663876756303,0.009750028005827305,32.336881073577885,0.005789870959827102,0.0025105221886156034,56.63941034204719
SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.013668176314008303,0.009766031334518595,28.549126744073828,0.004710979883816503,0.0020924352265271964,55.58386411890061
