target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
SP,32220;32248;32240;32217;32270,SP,0.1320314625442013,0.1320614687854996,3.0006241298285996e-05,0.1773735603672076,0.1322708456692246,0.0453420978230063,0.0002093768837249932,99.5382285033606,0.1496777996489805,0.1321541547308428,0.017646337104779197,9.268594534320163e-05,99.47475816203183
SP,32220;32248;32240;32217;32270,Green,0.1353834930998901,0.1355435263868126,0.0001600332869225174,0.1296789732264284,0.1356655517680915,-0.005704519873461683,0.00012202538127889517,97.86090005845057,0.1330856818218128,0.1356275438624475,-0.002297811278077294,8.401747563488438e-05,96.34358676726548
SP,32220;32248;32240;32217;32270,GLP,0.1619603544203661,0.162376440966367,0.00041608654600089334,0.1434631736734459,0.1621417254788794,-0.018497180746920194,-0.0002347154874876023,98.73107426099686,0.1528271213745634,0.1622370786456711,-0.009133233045802713,-0.0001393623206958905,98.47411842009292
SP,32220;32248;32240;32217;32270,Centre,0.1745269682760579,0.1744042760894164,-0.00012269218664151538,0.1625644800785202,0.1743489312443548,-0.011962488197537702,-5.534484506158899e-05,99.53734671125544,0.1702567467366454,0.1743736030427558,-0.004270221539412505,-3.067304666060089e-05,99.28169893815812
SP,32220;32248;32240;32217;32270,FDP,0.0432396605160585,0.0432810024485139,4.134193245539791e-05,0.0381619376830412,0.0432896709182223,-0.005077722833017301,8.668469708400517e-06,99.82928430728761,0.0418693754967741,0.0432843364753249,-0.0013702850192843993,3.334026810998536e-06,99.75669099756051
SP,32220;32248;32240;32217;32270,SVP,0.0466470359168066,0.0468697489077754,0.00022271299096879998,0.0440725004134233,0.0468870858471922,-0.002574535503383296,1.7336939416801034e-05,99.32659932659628,0.0456041523303546,0.0468764169613973,-0.0010428835864519995,6.6680536218999276e-06,99.36061381073362
Green,32217;32240;32251;32221;32266,SP,0.1320314625442013,0.1320614687854996,3.0006241298285996e-05,0.1438912627159686,0.1322775137228464,0.011859800171767299,0.00021604493734680985,98.17834251658715,0.1350874315190806,0.1321488202879454,0.0030559689748792807,8.73515024457927e-05,97.14161029893167
Green,32217;32240;32251;32221;32266,Green,0.1353834930998901,0.1355435263868126,0.0001600332869225174,0.1573553965891412,0.1356615509359186,0.0219719034892511,0.00011802454910600502,99.46283876058465,0.1453002224462572,0.1356275438624473,0.009916729346367115,8.401747563469009e-05,99.15277030661859
Green,32217;32240;32251;32221;32266,GLP,0.1619603544203661,0.162376440966367,0.00041608654600089334,0.1456843023348749,0.1621437258949659,-0.01627605208549121,-0.0002327150714011017,98.57019951657351,0.1541874043134132,0.1622570828065367,-0.007772950106952892,-0.00011935815983030174,98.46444196620358
Green,32217;32240;32251;32221;32266,Centre,0.1745269682760579,0.1744042760894164,-0.00012269218664151538,0.1600012802662906,0.1743515984658037,-0.014525688009767307,-5.267762361269024e-05,99.63734851266757,0.1687390977323206,0.1743782706802911,-0.005787870543737306,-2.6005409125284817e-05,99.5506912442362
Green,32217;32240;32251;32221;32266,FDP,0.0432396605160585,0.0432810024485139,4.134193245539791e-05,0.0374164492881217,0.0433050074415525,-0.005823211227936803,2.4004993038603817e-05,99.5877705255918,0.041653330559427,0.043295672166482,-0.0015863299566315006,1.4669717968103513e-05,99.07524169818655
Green,32217;32240;32251;32221;32266,SVP,0.0466470359168066,0.0468697489077754,0.00022271299096879998,0.0429182603314859,0.0468797509882082,-0.0037287755853206983,1.0002080432801319e-05,99.73175965665038,0.0453434314337414,0.046871749323862,-0.0013036044830651988,2.000416086597734e-06,99.84654731457397
GLP,32222;32242;32233;32214;32237,SP,0.1320314625442013,0.1320614687854996,3.0006241298285996e-05,0.1180125466096945,0.131836088573082,-0.014018915934506812,-0.00022538021241760853,98.3923135464216,0.1257521564485364,0.131953446316826,-0.006279306095664905,-0.00010802246867358534,98.2797069130272
GLP,32222;32242;32233;32214;32237,Green,0.1353834930998901,0.1355435263868126,0.0001600332869225174,0.1417601527784309,0.1354948495953735,0.006376659678540814,-4.867679143910619e-05,99.23664122137619,0.1385374824630075,0.1355161873669633,0.003153989363117421,-2.733901984930398e-05,99.1331923890104
GLP,32222;32242;32233;32214;32237,GLP,0.1619603544203661,0.162376440966367,0.00041608654600089334,0.2035936808189088,0.1626171577021147,0.0416333263985427,0.00024071673574771468,99.42181719172902,0.1794099839433006,0.1624884642672135,0.017449629522934496,0.00011202330084650325,99.35801903015037
GLP,32222;32242;32233;32214;32237,Centre,0.1745269682760579,0.1744042760894164,-0.00012269218664151538,0.1668727095235754,0.1744516192701314,-0.00765425875248249,4.734318071500376e-05,99.38147922292738,0.170839534623194,0.1744189458073846,-0.003687433652863892,1.4669717968207596e-05,99.60216998191102
GLP,32222;32242;32233;32214;32237,FDP,0.0432396605160585,0.0432810024485139,4.134193245539791e-05,0.0449066739215131,0.0432843364753248,0.0016670134054546024,3.3340268109013915e-06,99.80000000000047,0.0444865865433389,0.0432836696699626,0.0012469260272804025,2.66722144870446e-06,99.78609625668639
GLP,32222;32242;32233;32214;32237,SVP,0.0466470359168066,0.0468697489077754,0.00022271299096879998,0.0483953995764485,0.0468770837667594,0.0017483636596418994,7.334858983999715e-06,99.58047292143432,0.0474858770624319,0.0468750833506729,0.0008388411456253034,5.334442897499125e-06,99.36406995230037
Centre,32245;32228;32262;32236;32239,SP,0.1320314625442013,0.1320614687854996,3.0006241298285996e-05,0.1085319079701958,0.1318280869087361,-0.023499554574005516,-0.00023338187676349986,99.00686680665147,0.1235710361088403,0.1319254404916146,-0.008460426435361018,-0.00013602829388500992,98.3921815889035
Centre,32245;32228;32262;32236;32239,Green,0.1353834930998901,0.1355435263868126,0.0001600332869225174,0.1115271976571182,0.1353321490870013,-0.023856295442771888,-0.0002113772998112995,99.11395589345226,0.1274458420684789,0.1354561748843664,-0.007937651031411197,-8.735150244620904e-05,98.89952956988739
Centre,32245;32228;32262;32236;32239,GLP,0.1619603544203661,0.162376440966367,0.00041608654600089334,0.1486155787070294,0.1620563743925201,-0.013344775713336698,-0.0003200665738468944,97.60155898666007,0.1556823819354257,0.1622077392097354,-0.006277972484940414,-0.00016870175663158404,97.31279872544417
Centre,32245;32228;32262;32236;32239,Centre,0.1745269682760579,0.1744042760894164,-0.00012269218664151538,0.2221162001696141,0.17518177114172,0.04758923189355618,0.0007774950523036228,98.36623744202751,0.1927880999247704,0.1747836883404979,0.018261131648712486,0.00037941225108151233,97.92229606368198
Centre,32245;32228;32262;32236;32239,FDP,0.0432396605160585,0.0432810024485139,4.134193245539791e-05,0.045180730925371,0.0432990061932929,0.0019410704093124967,1.8003744778997965e-05,99.07248368257932,0.0442011938483253,0.0432796688377896,0.0009615333322667979,-1.3336107242967188e-06,99.86130374480594
Centre,32245;32228;32262;32236;32239,SVP,0.0466470359168066,0.0468697489077754,0.00022271299096879998,0.0498156949978961,0.0468924202900897,0.0031686590810895005,2.267138231430016e-05,99.2845117845084,0.0478919615280007,0.0468977547329871,0.0012449256111941032,2.800582521170214e-05,97.75040171397553
FDP,32230;32249;32261;32271;32244,SP,0.1320314625442013,0.1320614687854996,3.0006241298285996e-05,0.1197415729138314,0.1320668032283966,-0.012289889630369907,5.334442896992586e-06,99.95659486734681,0.1278392572321644,0.1320608019801375,-0.004192205312036901,-6.668053620928482e-07,99.98409416255978
FDP,32230;32249;32261;32271;32244,Green,0.1353834930998901,0.1355435263868126,0.0001600332869225174,0.1299343596801419,0.1355648641584024,-0.005449133419748203,2.1337771589802212e-05,99.60841899167909,0.1347726993881307,0.1355448599975367,-0.0006107937117593998,1.3336107241024298e-06,99.78165938868936
FDP,32230;32249;32261;32271;32244,GLP,0.1619603544203661,0.162376440966367,0.00041608654600089334,0.1536906343185959,0.162241079477844,-0.008269720101770212,-0.00013536148852300034,98.36316723108894,0.1572627106437963,0.1623217629266681,-0.00469764377656981,-5.467803969888552e-05,98.83605393896403
FDP,32230;32249;32261;32271;32244,Centre,0.1745269682760579,0.1744042760894164,-0.00012269218664151538,0.1657298051327982,0.1742789166813262,-0.008797163143259706,-0.00012535940809019208,98.57500189494336,0.1700867113692906,0.1743495980497173,-0.004440256906767304,-5.4678039699079806e-05,98.76858387144793
FDP,32230;32249;32261;32271;32244,FDP,0.0432396605160585,0.0432810024485139,4.134193245539791e-05,0.0576493243928148,0.0433116754951743,0.014409663876756303,3.067304666039966e-05,99.787135585377,0.0490295314758856,0.0432863368914114,0.005789870959827102,5.334442897499125e-06,99.90786594494917
