ID1,ID2,Distance
32264,32287,0.2245812095053702
32245,32285,0.2634643714113617
32268,32272,0.3453716670531892
32219,32281,0.39528510308335296
32228,32231,0.39849304085164616
32276,32281,0.4088842480785725
32215,32281,0.41168088952315973
32265,32266,0.4595393869233726
32271,32280,0.4618483450033283
32238,32276,0.46263916060094945
32219,32276,0.4685243662604027
32281,32288,0.4736617142839489
32266,32273,0.475137173006385
32215,32219,0.4769097622578071
32240,32281,0.47693499706566256
32280,32285,0.476947903164489
32246,32280,0.4793423814911407
32228,32234,0.48147131693674583
32244,32271,0.4845258378597599
32246,32285,0.48563263005487156
32275,32281,0.4875601164727319
32228,32262,0.49070458987475396
32219,32240,0.4931217514623919
32244,32281,0.4940008489132368
32255,32280,0.49501368978785654
32246,32247,0.49519053117276013
32268,32269,0.49662091646599693
32276,32280,0.4971138590908678
32227,32281,0.4972009027531933
32269,32272,0.4978531614399353
32275,32276,0.4981144679645636
32247,32280,0.4995210684458741
32271,32281,0.5005169887526395
32254,32255,0.504107990675365
32228,32281,0.5049279989067204
32269,32273,0.5067680570722275
32231,32262,0.5075343791866312
32230,32281,0.5112705757678793
32219,32271,0.512025707238793
32218,32281,0.5120727111101766
32228,32230,0.5136485916369327
32280,32281,0.5145990724619024
32234,32281,0.5187482510195661
32240,32271,0.5207315084581345
32228,32279,0.5222863999021421
32234,32262,0.5237061447055756
32219,32275,0.5244351106046483
32286,32287,0.5246137955853668
32219,32227,0.5279486884337243
32228,32229,0.5295532072428892
32219,32244,0.5312256448396122
32231,32281,0.5346133926238912
32240,32244,0.5364727683441466
32253,32254,0.5365142804218055
32230,32288,0.537761653418851
32240,32276,0.537762847789353
32255,32271,0.5378841112824388
32215,32276,0.5382362984924122
32245,32280,0.5388989913021447
32265,32273,0.5399155466699458
32247,32285,0.5419103482077614
32230,32279,0.5423706822186747
32228,32288,0.5448159228375564
32241,32271,0.5481808630061589
32279,32281,0.5486316998855066
32245,32246,0.5486687627327946
32231,32288,0.5488146572058068
32268,32273,0.5514135521585684
32234,32279,0.552085461739688
32271,32276,0.5521457745741151
32240,32275,0.5528718088315963
32256,32280,0.5535531955566421
32275,32280,0.5536496785023513
32234,32246,0.5544552825668911
32230,32234,0.5552389712056353
32228,32269,0.5564663857031711
32219,32280,0.558055569029286
32228,32276,0.5583262696835236
32218,32219,0.5588053430459108
32272,32273,0.5588673512227317
32230,32231,0.5590194654114256
32254,32280,0.5593391338792861
32271,32288,0.559690671651146
32238,32275,0.5597481922720509
32271,32275,0.5598137742052857
32276,32285,0.5601032188425115
32231,32234,0.5616986397892072
32219,32288,0.5618358871075378
32231,32279,0.5622837933432081
32215,32240,0.5638085307246119
32219,32238,0.5639145826969466
32281,32287,0.5639536952742771
32244,32288,0.5642490283044306
32257,32271,0.5666674122764576
32227,32276,0.5670037595624167
32234,32276,0.5673476384393257
32275,32285,0.5673523947697474
32234,32244,0.5676990173981566
32279,32285,0.568063926812639
32241,32275,0.5684432166611912
32238,32281,0.568579182731544
32234,32285,0.5686487622099454
32227,32288,0.5696157982993935
32245,32275,0.5705067888731433
32280,32288,0.5705687845659614
32281,32285,0.5731141100189446
32253,32280,0.5732833705202878
32227,32244,0.5739758565637163
32255,32256,0.5743628591269428
32236,32261,0.5755967797120163
32249,32280,0.5758361857161607
32256,32271,0.5758409780935234
32244,32280,0.5769618824259548
32254,32271,0.5774775815322957
32249,32271,0.5776579799294864
32214,32217,0.5781154964551594
32245,32247,0.5791879515044638
32228,32287,0.5811750468558694
32228,32285,0.5816784450388637
32234,32280,0.5824046865906423
32218,32234,0.5848517902495239
32276,32279,0.5851038024222788
32215,32244,0.5853860668842759
32219,32231,0.586749534259952
32279,32288,0.5877678991757356
32231,32269,0.5879494211313049
32218,32244,0.5882313885519668
32253,32255,0.5884727489368126
32285,32287,0.5886614997884028
32268,32279,0.588823952184192
32262,32281,0.5897281055131206
32218,32276,0.5906502687083284
32215,32218,0.5907632960081511
32219,32234,0.5910987688611141
32279,32286,0.5914806786086635
32246,32269,0.5914966960787775
32276,32288,0.5944486810929058
32215,32227,0.5949807988604171
32234,32288,0.5952281787163947
32238,32280,0.5952503150062558
32234,32235,0.5959556346654594
32244,32249,0.5961592118028318
32227,32231,0.5962170047046107
32215,32271,0.5965755637845043
32215,32288,0.5966921592181255
32218,32228,0.5967956512515655
32231,32287,0.5970830580667901
32240,32280,0.5971032161686147
32246,32276,0.5971253319579757
32219,32228,0.597251905760649
32245,32276,0.59747605176706
32230,32268,0.5974973131036309
32249,32281,0.5975080882631493
32257,32280,0.5983767869872046
32219,32257,0.5986922110390137
32218,32227,0.5988582002644194
32246,32256,0.5990250969405171
32246,32271,0.5994311736808594
32247,32275,0.5997647873179022
32231,32276,0.6005049661959696
32246,32281,0.6006089930953924
32215,32275,0.6008915160780216
32246,32253,0.6009689511293381
32227,32240,0.601096030737506
32227,32271,0.6014573589271073
32244,32255,0.6021396189189265
32230,32280,0.6023037344972878
32238,32285,0.602493596228797
32238,32271,0.6028371451477084
32234,32287,0.603460914285396
32219,32241,0.6040892168545817
32230,32285,0.6046058151642852
32218,32231,0.6047105817533793
32219,32255,0.6049613124685915
32258,32278,0.6051754368066844
32229,32231,0.6055316684879346
32247,32276,0.6060911074031078
32256,32257,0.6070550784063617
32241,32276,0.6071390109958844
32271,32285,0.6081045784357619
32244,32256,0.6085269453627282
32260,32271,0.6090252059202459
32255,32281,0.6096576983354041
32230,32276,0.610011205564625
32227,32228,0.6110099667525529
32238,32241,0.6113869415655666
32241,32280,0.6116143742653373
32281,32284,0.6122053633307406
32219,32230,0.6127504362188547
32219,32285,0.6129153935641902
32262,32276,0.6133566781799407
32244,32276,0.6134201935976851
32262,32285,0.6138463881337433
32228,32246,0.6138645614012841
32218,32280,0.613977351149998
32270,32275,0.6140246020770327
32230,32272,0.6155053910271773
32255,32257,0.6155605657088726
32222,32281,0.6165269054494049
32230,32262,0.616621426946953
32230,32287,0.6168766906452955
32218,32240,0.6168815132272796
32267,32274,0.616959249893241
32244,32275,0.6174671631753712
32272,32279,0.6177198254998153
32230,32244,0.6180904281784073
32218,32271,0.6181973220344257
32231,32244,0.6182149888792599
32246,32288,0.6182173655303654
32265,32269,0.6182425773881635
32234,32275,0.6186322178278373
32276,32287,0.6189113760040934
32246,32262,0.6189568735204867
32231,32285,0.6194789337553506
32228,32268,0.6199106009379589
32240,32241,0.6205160363750966
32228,32280,0.6206121094140479
32262,32279,0.6206366738544637
32269,32288,0.6207829852902325
32241,32281,0.6212479490875187
32264,32286,0.6216853678173077
32279,32280,0.621749132141576
32227,32234,0.6218146227419362
32279,32287,0.621855247084308
32230,32271,0.6219138541405809
32234,32269,0.6220691358569361
32218,32279,0.6220782609240016
32234,32245,0.6232074439470829
32245,32281,0.623718668926242
32227,32279,0.6238411202375564
32218,32288,0.6241416631256915
32262,32288,0.6243391528825479
32240,32288,0.6254344091909014
32246,32249,0.6266718823544246
32235,32277,0.6270507688756128
32231,32280,0.627333115592321
32264,32281,0.627639208073338
32228,32275,0.62788359624345
32227,32280,0.6281867586909113
32245,32279,0.6292111143051066
32280,32287,0.6294060391916863
32228,32286,0.629461988284098
32247,32281,0.6298435315957684
32229,32269,0.6298844191574493
32230,32249,0.6300013628730042
32269,32279,0.6305194400512375
32219,32287,0.6307079297907869
32219,32279,0.6308587803478305
32234,32271,0.6309766842681404
32262,32280,0.6310660708502436
32244,32254,0.631083279868033
32257,32281,0.6311190523956486
32218,32230,0.631266423163032
32285,32288,0.6315447887702352
32238,32240,0.6316133483845343
32218,32287,0.6317811664201701
32228,32264,0.6322035465233553
32240,32257,0.6322520516507766
32246,32273,0.6326445645170995
32228,32245,0.633420642994555
32241,32257,0.6334691126789813
32275,32287,0.6344025496820358
32253,32271,0.6345120926794521
32282,32284,0.6351662299508289
32255,32285,0.6351808046441667
32281,32282,0.635488535151469
32246,32255,0.635764802871158
32269,32281,0.6360115767411881
32231,32271,0.6364534449790793
32231,32240,0.6370738435201568
32251,32280,0.6374221805936384
32230,32275,0.6374331978315053
32246,32279,0.6377116243290781
32231,32264,0.6390508956723904
32218,32262,0.6392127951085977
32241,32244,0.6392520832323425
32257,32276,0.6393286148382593
32262,32287,0.6396419761427322
32230,32245,0.6399051860443585
32215,32228,0.6399622184083362
32247,32271,0.6401509091828264
32264,32285,0.6403474923542034
32219,32249,0.6409905706430179
