question_id,question_text,clone_type,alpha,base_jaccard_mean,base_spearman_mean,base_kendall_mean,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.01,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8013045449224089,0.8947368421052632,0.4117647058823529,0.9780252158193615,0.9280171983750974
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.1,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.7971526082611217,0.8947368421052632,0.44,0.979043764883903,0.9289620550452721
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.2,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8176109914835508,0.8947368421052632,0.46938775510204084,0.9846020580764938,0.9396524361923948
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.3,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8541666903109361,0.9459459459459459,0.5652173913043478,0.9920518009568476,0.9569972039589959
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.4,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8629335970276972,0.9459459459459459,0.6,0.9932577186974635,0.9605434320169681
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.5,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8500332401312496,0.9459459459459459,0.5652173913043478,0.99145156021305,0.9553733935742481
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.6,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8455775826819897,0.9459459459459459,0.5652173913043478,0.9910783742105106,0.9538090922946005
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.7,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8375155251910135,0.9459459459459459,0.5319148936170213,0.989498832954026,0.9499382191106418
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.8,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8318687507820413,0.8947368421052632,0.5,0.9882445214613966,0.9470716184788603
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,0.9,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8277171371989506,0.8947368421052632,0.5,0.9872303412026208,0.9448688765908361
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.0,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8244621137946191,0.8947368421052632,0.5,0.9863951048537917,0.9431224137474337
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.1,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8218887778047957,0.8947368421052632,0.46938775510204084,0.985695479376589,0.9416983664820862
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.2,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8199479807279857,0.8947368421052632,0.46938775510204084,0.9851029493587783,0.9405259085690257
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.3,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8183630969345483,0.8947368421052632,0.46938775510204084,0.9845943880943788,0.9395371223068218
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.4,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8169396287190192,0.8947368421052632,0.46938775510204084,0.9841534728597683,0.9386927919970045
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.5,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8157344982115853,0.8947368421052632,0.46938775510204084,0.9837671952774932,0.9379634034973193
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,1.8,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8130708758895884,0.8947368421052632,0.46938775510204084,0.9828528138232109,0.9362714400387047
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,2.1,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8113166891893532,0.8947368421052632,0.44,0.9821885356366754,0.9350714631573793
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,2.4,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8100274098506277,0.8947368421052632,0.44,0.9816847397069083,0.934178138073377
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,2.7,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.8088967442556789,0.8947368421052632,0.44,0.981289774621762,0.9334865494974255
32262,Are you in favour of lowering the voting age to 16?,perfect_mix,3.0,0.8013045449224089,0.9780252158193615,0.9280171983750974,0.808108725756953,0.8947368421052632,0.44,0.9809715590865035,0.9329385189547929
