party,original,original_crw,worst_case,worst_case_crw,realistic,realistic_crw
SP,0.13203146254420134,0.13223350456894176,0.10853190797019581,0.11466851771835368,0.1235710361088403,0.12740183291457322
Green,0.1353834930998901,0.1346233349870015,0.11152719765711828,0.11824259445964794,0.12744584206847898,0.1302210859858781
GLP,0.16196035442036616,0.16123086935413922,0.14861557870702943,0.1519889470343069,0.15568238193542575,0.1564532089341078
Centre,0.17452696827605796,0.17561052698960306,0.22211620016961414,0.21051312006228812,0.19278809992477042,0.18609404089382697
FDP,0.04323966051605851,0.04347837683571975,0.04518073092537107,0.045048703463658954,0.044201193848325375,0.04405382986328304
SVP,0.046647035916806634,0.04673372061389037,0.04981569499789619,0.04901886259008862,0.047891961528000786,0.04765591242978819
