alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.2,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.3,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.4,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.5,0.4417566201095553,0.4117647058823529,0.2631578947368421,0.897939544139873,0.7667130979962872
0.6,0.4460355245454254,0.4117647058823529,0.2631578947368421,0.8999305394751186,0.7691655390860986
0.7,0.4584596323510673,0.44,0.2857142857142857,0.9061791470131738,0.7773938515665751
0.8,0.4760438445838162,0.44,0.3090909090909091,0.9135060724972937,0.7878863993214962
0.9,0.4814575314977649,0.4693877551020408,0.3090909090909091,0.9155353459850092,0.7909917298736471
1.0,0.477123720168465,0.44,0.3090909090909091,0.9137143504429912,0.7883977209320322
1.1,0.4736292138900542,0.44,0.2857142857142857,0.9122574029882236,0.7863289308319703
1.2,0.4814596847670956,0.4693877551020408,0.3090909090909091,0.9168672903511212,0.7924357249756806
1.3,0.4782810826272624,0.44,0.3090909090909091,0.9155144693315282,0.7905124212745532
1.4,0.475420219168655,0.44,0.3090909090909091,0.914247782991802,0.7887376332237878
1.5,0.4729309918605654,0.44,0.2857142857142857,0.9131443536673226,0.7871998500576096
1.8,0.4671959130503884,0.44,0.2857142857142857,0.9105585801933644,0.7836370094983954
2.1,0.4631201232061445,0.44,0.2857142857142857,0.9087024193124148,0.7811083040174968
2.4,0.4602969760595142,0.44,0.2857142857142857,0.907305594812271,0.7792205573486516
2.7,0.4579872533977122,0.44,0.2857142857142857,0.9062176753940596,0.7777622302165377
3.0,0.4562211982470531,0.44,0.2857142857142857,0.9053445622842,0.776595489230366
