alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.1,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.2,0.9881898613602094,1.0,0.945945945945946,0.999966273136974,0.9984101604025178
0.3,0.988961164915589,1.0,0.945945945945946,0.9999613087163312,0.9982547060308224
0.4,0.9918923858895562,1.0,0.945945945945946,0.9999712249292584,0.9988179694273144
0.5,0.985312606513798,1.0,0.945945945945946,0.999964834588362,0.997338036594195
0.6,0.9871656393302396,1.0,0.945945945945946,0.999970891117581,0.9977279436979808
0.7,0.944471607657928,0.945945945945946,0.8947368421052632,0.9995061982640996,0.9879365281315174
0.8,0.80436773415121,0.8,0.6363636363636364,0.9915865528230928,0.9445209296844086
0.9,0.735916670983657,0.7560975609756098,0.5319148936170213,0.9805749409750222,0.913058527261463
1.0,0.6964323926541285,0.7142857142857143,0.4693877551020408,0.9697248171549344,0.8894331522924982
1.1,0.6702269072458424,0.6744186046511628,0.44,0.959884260652726,0.8710542005213404
1.2,0.6518084708747177,0.6363636363636364,0.4117647058823529,0.9512049203567567,0.8563867544616494
1.3,0.6383205310194461,0.6363636363636364,0.4117647058823529,0.9436179541853624,0.8444551988134902
1.4,0.6280624568723304,0.6363636363636364,0.3846153846153846,0.9369786507660957,0.834563069169663
1.5,0.6190300549449966,0.6363636363636364,0.3846153846153846,0.931130136155072,0.8261682098581343
1.8,0.6019499431770927,0.6,0.3584905660377358,0.91731346152409,0.8075023790266749
2.1,0.5908378020664099,0.6,0.3584905660377358,0.9073329447477184,0.7948004776240296
2.4,0.5835623374083615,0.5652173913043478,0.3333333333333333,0.8998543394543332,0.7856650804392602
2.7,0.5772037906652949,0.5652173913043478,0.3333333333333333,0.8939923273564356,0.7786479547587534
3.0,0.5733090366247788,0.5652173913043478,0.3333333333333333,0.8893486424124982,0.7732441410172223
