lambda,r,arccos_r
0.0,1.0,0.0
0.05,0.9457466035339908,0.3309114440258144
0.1,0.8939179166251847,0.46478508750997355
0.2,0.795856180809221,0.6503760187998971
0.4,0.615578947053405,0.907675936633635
0.6,0.44709155578742465,1.1072851576871423
0.8,0.28540607744612834,1.2813662247779802
1.0,0.12508371849234357,1.4453841148693
