target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
SP,,SP,0.1320314625442013,0.1315693664282093,-0.0004620961159920167,0.1773735603672076,0.1316707208432612,0.0453420978230063,0.00010135441505190745,99.77646730098914,0.1496777996489805,0.1315660324013986,0.017646337104779197,-3.334026810686286e-06,99.98110640870743
SP,,Green,0.1353834930998901,0.1356608841305574,0.00027739103066731774,0.1296789732264284,0.1356195421981017,-0.005704519873461683,-4.1341932455696284e-05,99.27527761542166,0.1330856818218128,0.1356622177412814,-0.002297811278077294,1.3336107239914075e-06,99.94196169473469
SP,,GLP,0.1619603544203661,0.1622970911282673,0.00033673670790118626,0.1434631736734459,0.1622757533566775,-0.018497180746920194,-2.1337771589802212e-05,99.88464311463598,0.1528271213745634,0.1622977579336294,-0.009133233045802713,6.668053621206038e-07,99.99269913119728
SP,,Centre,0.1745269682760579,0.1742049012861232,-0.0003220669899346995,0.1625644800785202,0.1742109025343828,-0.011962488197537702,6.001248259585035e-06,99.94983277592014,0.1702567467366454,0.1742055680914853,-0.004270221539412505,6.668053620928482e-07,99.98438475952737
SP,,FDP,0.0432396605160585,0.0433616858973378,0.00012202538127929763,0.0381619376830412,0.0433630195080622,-0.005077722833017301,1.3336107244008022e-06,99.9737360472744,0.0418693754967741,0.0433623527027,-0.0013702850192843993,6.668053622038705e-07,99.9513381995118
SP,,SVP,0.0466470359168066,0.0469784381818112,0.00033140226500460307,0.0440725004134233,0.0469757709603624,-0.002574535503383296,-2.6672214488016044e-06,99.89639989639699,0.0456041523303546,0.0469744373496381,-0.0010428835864519995,-4.000832173105262e-06,99.6163682864435
Green,,SP,0.1320314625442013,0.1315693664282093,-0.0004620961159920167,0.1438912627159686,0.1315873701729885,0.011859800171767299,1.8003744779199193e-05,99.84819520971307,0.1350874315190806,0.1315847029515396,0.0030559689748792807,1.5336523330300444e-05,99.49814531965573
Green,,Green,0.1353834930998901,0.1356608841305574,0.00027739103066731774,0.1573553965891412,0.1356628845466436,0.0219719034892511,2.000416086195278e-06,99.99089557221488,0.1453002224462572,0.1356495484394002,0.009916729346367115,-1.1335691157215999e-05,99.88569123184381
Green,,GLP,0.1619603544203661,0.1622970911282673,0.00033673670790118626,0.1456843023348749,0.1622750865513154,-0.01627605208549121,-2.200457695189506e-05,99.86480396575095,0.1541874043134132,0.1622970911282673,-0.007772950106952892,0.0,100.0
Green,,Centre,0.1745269682760579,0.1742049012861232,-0.0003220669899346995,0.1600012802662906,0.1742109025343828,-0.014525688009767307,6.001248259585035e-06,99.95868527359565,0.1687390977323206,0.1742049012861232,-0.005787870543737306,0.0,100.0
Green,,FDP,0.0432396605160585,0.0433616858973378,0.00012202538127929763,0.0374164492881217,0.0433630195080622,-0.005823211227936803,1.3336107244008022e-06,99.97709836253229,0.041653330559427,0.0433623527027,-0.0015863299566315006,6.668053622038705e-07,99.95796553173466
Green,,SVP,0.0466470359168066,0.0469784381818112,0.00033140226500460307,0.0429182603314859,0.0469737705442759,-0.0037287755853206983,-4.667637535302194e-06,99.87482117310364,0.0453434314337414,0.0469744373496381,-0.0013036044830651988,-4.000832173105262e-06,99.69309462915484
GLP,,SP,0.1320314625442013,0.1315693664282093,-0.0004620961159920167,0.1180125466096945,0.1315860365622641,-0.014018915934506812,1.6670134054819208e-05,99.88108828005889,0.1257521564485364,0.1315767012871933,-0.006279306095664905,7.334858983992776e-06,99.88318997557619
