target_party,observed_party,mini_baseline,aug_baseline,delta_attack,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,crw_drift_ANSWER-CORR_α1.0,delta_crw_ANSWER-CORR_α1.0,reduction_ANSWER-CORR_α1.0,crw_drift_ANSWER-CORR_α1.1,delta_crw_ANSWER-CORR_α1.1,reduction_ANSWER-CORR_α1.1,crw_drift_ANSWER-CORR_α1.5,delta_crw_ANSWER-CORR_α1.5,reduction_ANSWER-CORR_α1.5,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
SP,SP,0.1250273390198449,0.1585323080533915,0.033504969033546605,-0.001619003419376694,0.034972607635708905,-4.380361016578882,-0.00118824715540769,0.03465454147794789,-3.4310506099864746,-0.0007508228378161896,0.033951061820845285,-1.331422771506019,-0.0010235462309484966,0.03403574610184351,-1.584174179553699,0.0006641381407334057,0.033319597142859814,0.5532668617039715,-0.0021897888094041945,0.0338870485060767,-1.1403665890499237
SP,Green,0.1261515728604857,0.1159614533156269,-0.010190119544858794,0.0004114189084651887,-0.010613540949843889,-4.155215285955327,-0.0004260886264352004,-0.0099447351715755,2.4080617720240394,0.0002600540912509053,-0.010400830039308112,-2.067792173798666,0.0005047716591707885,-0.010598871231875584,-4.011255071320696,-0.0005201081825020881,-0.010106768874585711,0.8179557649560243,-0.00016670134054588837,-0.009658008865837411,5.221829603459838
SP,GLP,0.1451068488912262,0.1343872858887962,-0.010719563002429988,-0.0008228378169325978,-0.011204330500736076,-4.522269221200492,-0.0002807250574786979,-0.011546401651536087,-7.713361532729124,0.00017803703170241048,-0.010984951536578191,-2.475740233888657,0.00017136897808081586,-0.010710227727359412,0.08708633988587788,-0.00024938520545589316,-0.010258133691799592,4.304553371492803,9.535316679210037e-05,-0.01147238625633279,-7.022891266483033
SP,Centre,0.1809242989208312,0.1699906913971356,-0.010933607523695599,0.0007774950523037893,-0.011130315105538996,-1.7991095932160306,0.0006581368924735986,-0.011194328420309402,-2.3845825455940606,-0.00010468844186201087,-0.010720896613159892,1.9454778313078736,-0.00012802662953900756,-0.010739567163300795,1.7747148868685336,0.00015469884402630196,-0.01036548935511769,5.196072452268541,0.0003454051776095868,-0.011073636649754082,-1.280722083310648
SP,FDP,0.0442098623180326,0.0437637695307329,-0.00044609278729969976,-0.0002080432730007034,-0.0005114397127935974,-14.648729446951458,-7.868303273740607e-05,-0.000844842393884597,-89.38714499255155,-4.800998607699947e-05,-0.0005874555240824031,-31.689088191361225,-0.00011135649548429938,-0.0006287974565377039,-40.95665171901941,-0.000101354415051505,-0.0007554904753522967,-69.35724962635037,-0.0003727441974597026,-0.0005521148398867012,-23.7668161435151
SP,SVP,0.0487107985127603,0.046895754316901,-0.0018150441958592958,0.00014736398504230225,-0.0018623873765742996,-2.608376193979689,5.5344845061103265e-05,-0.0015956652317014042,12.086700955181485,0.00036140850630279886,-0.0020590949584180993,-13.445995591488202,0.0004894351358417023,-0.0021071049444950987,-16.0911094783305,0.0003414043454373003,-0.0020964360587003017,-15.503306392370607,0.0004754322232360039,-0.0018283803031031026,-0.7347538574669743
Green,SP,0.1250273390198449,0.1148592240519366,-0.010168114967908287,-0.001619003419376694,-0.009137233877975895,10.138369729157947,-0.00118824715540769,-0.009428627821248897,7.272608039870654,-0.0007508228378161896,-0.009916062541004106,2.4788510721966417,-0.0010235462309484966,-0.010251465638181495,-0.8197258836694088,0.0006641381407334057,-0.011261675761887094,-10.754803593686812,-0.0021897888094041945,-0.0095759918062914,5.823332677548332
Green,Green,0.1261515728604857,0.1614409130432273,0.0352893401827416,0.0004114189084651887,0.0347558958929956,1.511630104115358,-0.0004260886264352004,0.03574676866119819,-1.2962228142772148,0.0002600540912509053,0.035185985351603194,0.2928783326726969,0.0005047716591707885,0.03499061138048451,0.846512858302706,-0.0005201081825020881,0.035328681699109576,-0.11148272017627026,-0.00016670134054588837,0.03540269709431229,-0.3212213971235611
Green,GLP,0.1451068488912262,0.1450294994692132,-7.734942201298445e-05,-0.0008228378169325978,-0.0004354239015040007,-462.93103448259404,-0.0002807250574786979,-0.0005841214972711894,-655.1724137940352,0.00017803703170241048,-0.00031406532558689304,-306.0344827582186,0.00017136897808081586,0.00023138146067749887,-199.1379310354219,-0.00024938520545589316,0.0005141069342430027,-564.6551724157691,9.535316679210037e-05,-0.0006227962082775984,-705.1724137939276
Green,Centre,0.1809242989208312,0.1672354516405985,-0.013688847280232702,0.0007774950523037893,-0.013809539050787883,-0.8816795752368822,0.0006581368924735986,-0.014231626845049306,-3.9651225096243303,-0.00010468844186201087,-0.01348213761795758,1.5100589410009801,-0.00012802662953900756,-0.013460799846366889,1.6659359929825812,0.00015469884402630196,-0.012968697489077502,5.260850504155512,0.0003454051776095868,-0.013602829388512788,0.628379365763887
