alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.2,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.3,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.4,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.5,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.6,0.4414976254726921,0.4117647058823529,0.2631578947368421,0.8977527017233035,0.7666054348495535
0.7,0.4436615569820054,0.4117647058823529,0.2631578947368421,0.8985265352304121,0.7675343718830472
0.8,0.4520139267515087,0.4117647058823529,0.2857142857142857,0.9030336733796952,0.7731925448919826
0.9,0.462627528195724,0.44,0.2857142857142857,0.9080591269918568,0.779940926536329
1.0,0.469332647365726,0.44,0.2857142857142857,0.9108430510309652,0.7837775972822479
1.1,0.4674288927233636,0.44,0.2857142857142857,0.9101918229831096,0.7828935184408704
1.2,0.4652334223742548,0.44,0.2857142857142857,0.90916470558917,0.7815208775867667
1.3,0.466298943668131,0.44,0.2857142857142857,0.9096968591090784,0.7821359535095355
1.4,0.4655130026638681,0.44,0.2857142857142857,0.9084749499469742,0.7807651658616268
1.5,0.4637034061033545,0.44,0.2857142857142857,0.9077767767801612,0.7798195085802337
1.8,0.4598355153040385,0.44,0.2857142857142857,0.9061274480042896,0.7776060055515541
2.1,0.4571912962260441,0.44,0.2857142857142857,0.9049313500918096,0.7760134186412436
2.4,0.4551280112857436,0.44,0.2857142857142857,0.904026952244882,0.7748222416754047
2.7,0.4535660905861813,0.4117647058823529,0.2857142857142857,0.9033176293689206,0.7738869616588343
3.0,0.4523671701631653,0.4117647058823529,0.2857142857142857,0.9027454630328208,0.7731368155432476
