ID_question,_category,category,rapide,question_text,jaccard_mean,spearman_mean,kendall_mean,impact,composite_rank,combined_var,voter_nan_pct,candidate_nan_pct
32258,"Democracy, Media & Digitalization",11460,0,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.760363145607156,0.9583616562346842,0.8983334918389232,0.239636854392844,50.66666666666666,1242773.7586216896,0.3846079984636804,0.0
32259,"Democracy, Media & Digitalization",11460,0,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.79413957839877,0.9707641274532244,0.9236394389849087,0.2058604216012299,58.0,1202823.554552499,0.4109174708339335,0.0
32260,"Democracy, Media & Digitalization",11460,1,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.6800974449136454,0.9286133337129516,0.8598382233739782,0.3199025550863545,30.0,1323877.138359456,0.0332949253444716,0.0
32261,"Democracy, Media & Digitalization",11460,1,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.5870058919958366,0.8485861738104902,0.7755827217574524,0.4129941080041633,5.0,3438323.0101840687,0.0400643333813433,0.0
32262,"Democracy, Media & Digitalization",11460,0,Are you in favour of lowering the voting age to 16?,0.7305945583816538,0.9149893764567374,0.8536755918625589,0.2694054416183462,31.33333333333333,3513367.567563617,0.3575303663161938,0.0
32263,"Democracy, Media & Digitalization",11460,0,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.7047635985216316,0.9306162875430898,0.8532603518585331,0.2952364014783684,30.0,2447542.939472661,0.4091891113351577,0.0
32240,Economy & labour,11457,1,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.6292662795867142,0.8617654222920066,0.767258932213631,0.3707337204132858,9.0,2960377.917469938,0.0139469009553987,0.0
32241,Economy & labour,11457,1,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",0.7053511997110987,0.9356447011983045,0.8682120680933741,0.2946488002889013,35.333333333333336,1285719.085613859,0.0444092371213212,0.0
32242,Economy & labour,11457,0,Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,0.7142683069718748,0.9289755602499902,0.8552804966575611,0.2857316930281252,32.333333333333336,2559117.172025857,0.3901531518555859,0.0
32243,Economy & labour,11457,0,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.6994012828626262,0.939454030445924,0.8661382647328819,0.3005987171373738,34.333333333333336,2152579.69070475,0.3807431945844736,0.0
32244,Economy & labour,11457,1,Are you in favor of stricter controls on equal pay for women and men?,0.6488341686940835,0.9137315028390518,0.834679765879647,0.3511658313059165,22.666666666666668,2269550.991907114,0.0155072255029046,0.0
32225,Education,11453,0,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",0.6930658155987415,0.9478574817710048,0.8763624381670051,0.3069341844012585,38.333333333333336,1910417.9655893457,0.3693408228911614,0.0
32226,Education,11453,0,Should the federal government raise the requirements for the gymnasiale matura?,0.6880351111875151,0.9435313348446196,0.8707368373265535,0.3119648888124848,35.666666666666664,2032068.1111153776,0.3836718037351769,0.0
32227,Education,11453,1,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",0.7088349252525192,0.948653054558324,0.8806619401706516,0.2911650747474807,42.0,975877.171834707,0.0124585913870084,0.0
32245,Energy & transport,11458,1,Should busy sections of highways be widened?,0.588710253547486,0.8743451586549388,0.7841763889920266,0.411289746452514,8.666666666666666,2765535.0290740537,0.0278457919247203,0.0
32246,Energy & transport,11458,1,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.6178074460908076,0.8808326802072356,0.7970029076186131,0.3821925539091924,13.333333333333334,3157920.804705721,0.0250612127322483,0.0
32247,Energy & transport,11458,0,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",0.7311072353023039,0.942646703287593,0.8760828830654538,0.2688927646976961,41.333333333333336,2567236.2869709134,0.3641797493878727,0.0
32248,Energy & transport,11458,0,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.7288008311171627,0.9449562211954872,0.8707035825507723,0.2711991688828373,40.333333333333336,1659924.7753452852,0.3702770176196649,0.0
32249,Energy & transport,11458,1,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.6282792419227404,0.8883945822775745,0.8215201239992028,0.3717207580772595,17.666666666666668,3107940.39892158,0.0276537519804119,0.0
32250,Energy & transport,11458,0,Should the state guarantee a comprehensive public service offering also in rural regions?,0.7950215165502977,0.976407611510228,0.930545159251254,0.2049784834497022,61.333333333333336,777392.0436386022,0.3766143357818426,0.0
32251,Energy & transport,11458,0,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.7131575099084759,0.9458424160042148,0.8706872167684976,0.286842490091524,38.333333333333336,1910414.4649059945,0.3813673244034759,0.0
