target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
SP,,SP,0.1320314625442013,0.1317887453923669,-0.00024271715183440956,0.1773735603672076,0.1321248152949066,0.0453420978230063,0.00033606990253970404,99.25881262959743,0.1496777996489805,0.1317280661044083,0.017646337104779197,-6.067928795860933e-05,99.65613663845187
SP,,Green,0.1353834930998901,0.1353581544961268,-2.533860376330299e-05,0.1296789732264284,0.1352608009132479,-0.005704519873461683,-9.735358287887852e-05,98.29339567503686,0.1330856818218128,0.1354375043342263,-0.002297811278077294,7.934983809951279e-05,96.5467208357551
SP,,GLP,0.1619603544203661,0.1618910066626984,-6.934775766770374e-05,0.1434631736734459,0.161771648502868,-0.018497180746920194,-0.00011935815983041276,99.35472242249519,0.1528271213745634,0.1618836718037147,-0.009133233045802713,-7.3348589836874645e-06,99.91969044316615
SP,,Centre,0.1745269682760579,0.1748110273603475,0.00028405908428960625,0.1625644800785202,0.1747970244477419,-0.011962488197537702,-1.4002912605615148e-05,99.88294314381436,0.1702567467366454,0.174808360138899,-0.004270221539412505,-2.667221448510171e-06,99.93753903810627
SP,,FDP,0.0432396605160585,0.0433656867295108,0.0001260262134522988,0.0381619376830412,0.0433676871455973,-0.005077722833017301,2.0004160865005893e-06,99.96060407091358,0.0418693754967741,0.043366353534873,-0.0013702850192843993,6.668053622038705e-07,99.9513381995118
SP,,SVP,0.0466470359168066,0.0467423890835987,9.535316679210037e-05,0.0440725004134233,0.0467410554728743,-0.002574535503383296,-1.3336107244008022e-06,99.94819994819849,0.0456041523303546,0.0467463899157718,-0.0010428835864519995,4.000832173098323e-06,99.61636828644417
Green,,SP,0.1320314625442013,0.1317887453923669,-0.00024271715183440956,0.1438912627159686,0.1317614063725175,0.011859800171767299,-2.7339019849415003e-05,99.76948161475354,0.1350874315190806,0.1317447362384627,0.0030559689748792807,-4.4009153904206455e-05,98.55989526510344
Green,,Green,0.1353834930998901,0.1353581544961268,-2.533860376330299e-05,0.1573553965891412,0.1355061852865308,0.0219719034892511,0.00014803079040401346,99.32627234378472,0.1453002224462572,0.1354101653143769,0.009916729346367115,5.2010818250125546e-05,99.475524475525
Green,,GLP,0.1619603544203661,0.1618910066626984,-6.934775766770374e-05,0.1456843023348749,0.1617743157243167,-0.01627605208549121,-0.0001166909383817083,99.28305133352498,0.1541874043134132,0.1618903398573365,-0.007772950106952892,-6.668053618985592e-07,99.99142146350198
Green,,Centre,0.1745269682760579,0.1748110273603475,0.00028405908428960625,0.1600012802662906,0.1747976912531041,-0.014525688009767307,-1.3336107243411277e-05,99.90818949687998,0.1687390977323206,0.1748036925013638,-0.005787870543737306,-7.33485898371522e-06,99.87327188940583
