metric,alpha,baseline_jaccard_mean,baseline_jaccard_median,baseline_jaccard_p10,baseline_spearman_mean,baseline_kendall_mean,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
ANSWER-CORR-ARCCOS-SMOOTHED,0.01,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.1,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.2,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.3,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.4,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.5,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.6,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136
ANSWER-CORR-ARCCOS-SMOOTHED,0.7,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7591168897630161,0.7560975609756098,0.46938775510204084,0.988530496623207,0.9366882820821183
ANSWER-CORR-ARCCOS-SMOOTHED,0.8,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7623096072024259,0.7560975609756098,0.46938775510204084,0.9887082226208531,0.9374322687561117
ANSWER-CORR-ARCCOS-SMOOTHED,0.9,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.762205518366182,0.7560975609756098,0.46938775510204084,0.98880984174458,0.9376705066909024
ANSWER-CORR-ARCCOS-SMOOTHED,1.0,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7631724559543052,0.7560975609756098,0.46938775510204084,0.9887596748991365,0.9375770029254354
ANSWER-CORR-ARCCOS-SMOOTHED,1.1,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.761694833901105,0.7560975609756098,0.46938775510204084,0.988888776877434,0.9373443201613895
ANSWER-CORR-ARCCOS-SMOOTHED,1.2,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7506499505875099,0.7560975609756098,0.46938775510204084,0.9884944288744489,0.9340809487731369
ANSWER-CORR-ARCCOS-SMOOTHED,1.3,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7453242749618564,0.7560975609756098,0.46938775510204084,0.9883264811713478,0.932430494736902
ANSWER-CORR-ARCCOS-SMOOTHED,1.4,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7431054931926472,0.7560975609756098,0.46938775510204084,0.9883665480268132,0.9320161185215785
ANSWER-CORR-ARCCOS-SMOOTHED,1.5,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7441374415310016,0.7560975609756098,0.46938775510204084,0.9884850506205995,0.932571999592766
ANSWER-CORR-ARCCOS-SMOOTHED,1.8,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7467001738884632,0.7560975609756098,0.46938775510204084,0.9885607737341339,0.9334673318326941
ANSWER-CORR-ARCCOS-SMOOTHED,2.1,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7483696381717783,0.7560975609756098,0.46938775510204084,0.9885976225869787,0.9340224337149132
ANSWER-CORR-ARCCOS-SMOOTHED,2.4,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7496988154166463,0.7560975609756098,0.46938775510204084,0.9886165043786208,0.934407112518816
ANSWER-CORR-ARCCOS-SMOOTHED,2.7,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7505617823202566,0.7560975609756098,0.46938775510204084,0.9886285903177485,0.9346995736184471
ANSWER-CORR-ARCCOS-SMOOTHED,3.0,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7512702630757673,0.7560975609756098,0.46938775510204084,0.9886343315766231,0.9349225688052032
E5-INSTRUCT-SMOOTHED,0.4,0.7629082055678422,0.7560975609756098,0.46938775510204084,0.9885453751131424,0.9371908294657136,0.7417677532084855,0.7560975609756098,0.46938775510204084,0.9883703986651113,0.9323001435208893
