ID1,ID2,Distance,cat1,cat2
32275,32285,1.1233689288597697,Values,Federal budget
32234,32244,1.1237533619195148,Society & ethics,Economy & labour
32279,32285,1.1241579999905353,Values,Federal budget
32241,32275,1.1245785010393854,Economy & labour,Values
32238,32281,1.1247292197107288,Finances & taxes,Federal budget
32234,32285,1.1248063445049878,Society & ethics,Federal budget
32227,32288,1.1258779535351453,Education,Federal budget
32245,32275,1.1268648092285993,Energy & transport,Values
32280,32288,1.1269334580319963,Values,Federal budget
32281,32285,1.129750008471664,Federal budget,Federal budget
32253,32280,1.1299371720191873,Nature conservation,Values
32227,32244,1.1307027317903553,Education,Economy & labour
32255,32256,1.1311304520968726,Nature conservation,Nature conservation
32236,32261,1.1324936234689884,Finances & taxes,"Democracy, Media & Digitalization"
32249,32280,1.1327580058346052,Energy & transport,Values
32256,32271,1.1327632978490396,Nature conservation,Foreign trade & foreign policy
32244,32280,1.134000704076234,Economy & labour,Values
32254,32271,1.1345697625403033,Nature conservation,Foreign trade & foreign policy
32249,32271,1.134768791102739,Energy & transport,Foreign trade & foreign policy
32214,32217,1.1352734737075887,Welfare state & family,Welfare state & family
32245,32247,1.1364560257452767,Energy & transport,Energy & transport
32228,32287,1.1386454024679178,Immigration & integration,Federal budget
32228,32285,1.1391996940284683,Immigration & integration,Federal budget
32234,32280,1.139999109155486,Society & ethics,Values
32218,32234,1.1426906179411438,Welfare state & family,Society & ethics
32276,32279,1.1429676118395533,Values,Values
32215,32244,1.1432778153761203,Welfare state & family,Economy & labour
32219,32231,1.1447756249202206,Welfare state & family,Immigration & integration
32279,32288,1.1458936650998177,Values,Federal budget
32231,32269,1.1460928945879054,Immigration & integration,Foreign trade & foreign policy
32218,32244,1.1464023324434898,Welfare state & family,Economy & labour
32253,32255,1.1466671727923339,Nature conservation,Nature conservation
32285,32287,1.1468742635926512,Federal budget,Federal budget
32268,32279,1.1470524851554322,Security & military,Values
32262,32281,1.1480441426623589,"Democracy, Media & Digitalization",Federal budget
32218,32276,1.1490550975395735,Welfare state & family,Values
32215,32218,1.149178976255057,Welfare state & family,Welfare state & family
32219,32234,1.149546616343695,Welfare state & family,Society & ethics
32279,32286,1.1499650722876469,Values,Federal budget
32246,32269,1.1499826208091104,Energy & transport,Foreign trade & foreign policy
32276,32288,1.1532144309610761,Values,Federal budget
32215,32227,1.1537964955424758,Welfare state & family,Education
32234,32288,1.1540670444028798,Society & ethics,Federal budget
32238,32280,1.1540912523449354,Finances & taxes,Values
32234,32235,1.1548624445416533,Society & ethics,Society & ethics
32244,32249,1.1550849856679175,Economy & labour,Energy & transport
32227,32231,1.1551481582150225,Education,Immigration & integration
32215,32271,1.1555400543767957,Welfare state & family,Foreign trade & foreign policy
32215,32288,1.1556674756959324,Welfare state & family,Federal budget
32218,32228,1.15578057096962,Welfare state & family,Immigration & integration
32231,32287,1.156094617310528,Immigration & integration,Federal budget
32240,32280,1.1561166422221796,Economy & labour,Values
32246,32276,1.1561408058740499,Energy & transport,Values
32219,32228,1.156279095125829,Welfare state & family,Immigration & integration
32245,32276,1.1565239670522038,Energy & transport,Values
32230,32268,1.1565471929735411,Immigration & integration,Security & military
32249,32281,1.1565589636861224,Energy & transport,Federal budget
32257,32280,1.15750772419294,Nature conservation,Values
32219,32257,1.1578521209155739,Welfare state & family,Nature conservation
32218,32227,1.1580333358925503,Welfare state & family,Education
32246,32256,1.1582155270604895,Energy & transport,Nature conservation
32246,32271,1.1586587562120645,Energy & transport,Foreign trade & foreign policy
32247,32275,1.1590228282742527,Energy & transport,Values
32231,32276,1.1598303778184755,Immigration & integration,Values
32246,32281,1.1599438503999568,Energy & transport,Federal budget
32215,32275,1.1602519982806274,Welfare state & family,Values
32246,32253,1.1603364494908557,Energy & transport,Nature conservation
32227,32240,1.1604750366774987,Education,Economy & labour
32227,32271,1.1608690389787157,Education,Foreign trade & foreign policy
