alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.2,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
0.3,0.4452226483588747,0.4117647058823529,0.2631578947368421,0.8997750516070538,0.7689680602502939
0.4,0.4626016387300478,0.44,0.2857142857142857,0.9089039479714962,0.7807228487477932
0.5,0.489581855507874,0.4693877551020408,0.3090909090909091,0.9215690350630452,0.7979840120978695
0.6,0.5180942605375675,0.5,0.3333333333333333,0.9321505192020088,0.8138663863172355
0.7,0.5211764345399192,0.5,0.3584905660377358,0.934057933856879,0.8160133059057438
0.8,0.5119655125726108,0.5,0.3333333333333333,0.9306701575704888,0.8108847113478411
0.9,0.5033398341159989,0.4693877551020408,0.3333333333333333,0.92713794200393,0.8057803725866951
1.0,0.4994527927540905,0.4693877551020408,0.3333333333333333,0.9252463151141114,0.803102677533533
1.1,0.4943995148012451,0.4693877551020408,0.3090909090909091,0.9244639616738416,0.8012732349682095
1.2,0.4894336930571727,0.4693877551020408,0.3090909090909091,0.9222569475375751,0.7982190249854962
1.3,0.4852867441740748,0.4693877551020408,0.3090909090909091,0.9203819915370568,0.7956568652114174
1.4,0.4818255420814543,0.4693877551020408,0.3090909090909091,0.9187696363929976,0.793475881975635
1.5,0.4788325094455809,0.44,0.3090909090909091,0.9173686062167136,0.7915936540778634
1.8,0.4720584477719811,0.44,0.2857142857142857,0.9140852914530984,0.7872418799680536
2.1,0.4672205253565971,0.44,0.2857142857142857,0.9117258157211026,0.7841598046301811
2.4,0.463750912646222,0.44,0.2857142857142857,0.9099525033263792,0.781863675165166
2.7,0.4612062877508192,0.44,0.2857142857142857,0.9085691824497542,0.7800893613086187
3.0,0.4591452426881257,0.44,0.2857142857142857,0.9074600513795592,0.7786765294990231
