alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
0.01,0.627018214141275,0.6363636363636364,0.3846153846153846,0.934072538743575,0.8307407756584035
0.1,0.6468565656861003,0.6363636363636364,0.4117647058823529,0.9469309493835204,0.8497317514986137
0.2,0.7083275178205333,0.7142857142857143,0.5,0.9719505755039308,0.8941843754846993
0.3,0.7692433835624813,0.8,0.6,0.9860095714703394,0.927311216860888
0.4,0.7675589243711088,0.7560975609756098,0.6,0.985632874695336,0.926310255952598
0.5,0.7334195525110123,0.7560975609756098,0.5319148936170213,0.9785185353761702,0.908419893879702
0.6,0.7243415335307131,0.7142857142857143,0.5319148936170213,0.9755229581660118,0.9015175676784444
0.7,0.706027606097063,0.7142857142857143,0.5,0.9702934024235722,0.8905829487325482
0.8,0.6937585144799586,0.7142857142857143,0.4693877551020408,0.9661756496922576,0.882584120111361
0.9,0.6848754621686537,0.6744186046511628,0.4693877551020408,0.962873734629229,0.8764782834333121
1.0,0.6782208396935504,0.6744186046511628,0.44,0.96017359145582,0.8716592758841114
1.1,0.6730633694272223,0.6744186046511628,0.44,0.9579285496387347,0.8677590076510869
1.2,0.6686251701294622,0.6744186046511628,0.44,0.9560374474363866,0.8645454311943764
1.3,0.6649249778015796,0.6744186046511628,0.44,0.954415075130262,0.8618232144418178
1.4,0.6615815454622697,0.6744186046511628,0.44,0.9530123120909844,0.8595034702136535
1.5,0.6588360632497767,0.6744186046511628,0.44,0.951793250188914,0.8575127684822106
1.8,0.6530487175167698,0.6744186046511628,0.4117647058823529,0.9489299680834076,0.8529323710340135
2.1,0.649206768295633,0.6363636363636364,0.4117647058823529,0.9468637519860446,0.8496968748043229
2.4,0.6465621324748662,0.6363636363636364,0.4117647058823529,0.9453054628353852,0.8472961699921006
2.7,0.6444572941195573,0.6363636363636364,0.4117647058823529,0.9440898975331466,0.8454479292205991
3.0,0.6427878288120881,0.6363636363636364,0.4117647058823529,0.9431260876234364,0.8439946359542153
