ID1,ID2,Distance,cat1,cat2
32263,32282,0.3434563162511217,"Democracy, Media & Digitalization",Federal budget
32287,32288,0.34423152835796667,Federal budget,Federal budget
32237,32238,0.3443977149076782,Finances & taxes,Finances & taxes
32219,32288,0.344454476935056,Welfare state & family,Federal budget
32239,32259,0.3446091406005671,Finances & taxes,"Democracy, Media & Digitalization"
32258,32259,0.34563760082597544,"Democracy, Media & Digitalization","Democracy, Media & Digitalization"
32215,32236,0.34572036613963125,Welfare state & family,Finances & taxes
32236,32288,0.3458134534399698,Finances & taxes,Federal budget
32235,32237,0.346049507017078,Society & ethics,Finances & taxes
32275,32278,0.34609979835202376,Values,Values
32222,32281,0.3461667847049263,Health,Federal budget
32248,32255,0.34636835437292873,Energy & transport,Nature conservation
32281,32282,0.3473317206766932,Federal budget,Federal budget
32263,32284,0.34775516088784836,"Democracy, Media & Digitalization",Federal budget
32236,32275,0.3477842973789313,Finances & taxes,Values
32236,32281,0.3484606063776543,Finances & taxes,Federal budget
32245,32284,0.3486640980250877,Energy & transport,Federal budget
32224,32281,0.34872136206955756,Health,Federal budget
32275,32276,0.3488471390175887,Values,Values
32268,32269,0.348902835513199,Security & military,Foreign trade & foreign policy
32239,32263,0.3491717961980791,Finances & taxes,"Democracy, Media & Digitalization"
32214,32218,0.3493153278525079,Welfare state & family,Welfare state & family
32240,32261,0.34948711282003336,Economy & labour,"Democracy, Media & Digitalization"
32250,32281,0.3496386979235756,Energy & transport,Federal budget
32240,32271,0.34995240160306995,Economy & labour,Foreign trade & foreign policy
32217,32238,0.3499842503955033,Welfare state & family,Finances & taxes
32246,32268,0.3500510042356774,Energy & transport,Security & military
32239,32276,0.3501565583077486,Finances & taxes,Values
32253,32255,0.3506304784336584,Nature conservation,Nature conservation
32239,32261,0.350659376013019,Finances & taxes,"Democracy, Media & Digitalization"
32229,32239,0.3511005333388191,Immigration & integration,Finances & taxes
32265,32287,0.35141327127962213,Security & military,Federal budget
32231,32240,0.3523053268831167,Immigration & integration,Economy & labour
32231,32268,0.35246297168366647,Immigration & integration,Security & military
32231,32272,0.35254853043034196,Immigration & integration,Foreign trade & foreign policy
32270,32283,0.35262325053032906,Foreign trade & foreign policy,Federal budget
32255,32271,0.35293328811675,Nature conservation,Foreign trade & foreign policy
32282,32283,0.35299019730224734,Federal budget,Federal budget
32234,32244,0.35325604598155425,Society & ethics,Economy & labour
32256,32280,0.3535857578913406,Nature conservation,Values
32281,32284,0.3545476696638788,Federal budget,Federal budget
32269,32273,0.35496283779934895,Foreign trade & foreign policy,Foreign trade & foreign policy
32246,32255,0.3550246262403801,Energy & transport,Nature conservation
32281,32287,0.3551772043379519,Federal budget,Federal budget
32216,32281,0.3557694389517129,Welfare state & family,Federal budget
32265,32268,0.35649497326360613,Security & military,Security & military
32242,32275,0.3567132648141537,Economy & labour,Values
32229,32266,0.3567428392254329,Immigration & integration,Security & military
32214,32217,0.35712975409858,Welfare state & family,Welfare state & family
32235,32244,0.3571783184430033,Society & ethics,Economy & labour
32255,32270,0.3572722575232907,Nature conservation,Foreign trade & foreign policy
32238,32261,0.3573576655845493,Finances & taxes,"Democracy, Media & Digitalization"
32246,32258,0.3574071995791847,Energy & transport,"Democracy, Media & Digitalization"
32274,32286,0.35781788384664104,Values,Federal budget
32224,32250,0.358067663905601,Health,Energy & transport
32218,32281,0.35829930402649285,Welfare state & family,Federal budget
32260,32267,0.3584160657491985,"Democracy, Media & Digitalization",Security & military
32223,32259,0.3594764897878651,Health,"Democracy, Media & Digitalization"
32223,32266,0.36008913155351396,Health,Security & military
32249,32273,0.3601142908508014,Energy & transport,Foreign trade & foreign policy
32252,32255,0.3602106082300938,Nature conservation,Nature conservation
32224,32259,0.360313351473832,Health,"Democracy, Media & Digitalization"
32246,32247,0.36075839928929704,Energy & transport,Energy & transport
32226,32262,0.36127335416812123,Education,"Democracy, Media & Digitalization"
32263,32287,0.36130766939564307,"Democracy, Media & Digitalization",Federal budget
32216,32222,0.3614460520714598,Welfare state & family,Health
32231,32271,0.3616058107381837,Immigration & integration,Foreign trade & foreign policy
32216,32239,0.3618081692930489,Welfare state & family,Finances & taxes
32253,32288,0.36184243380152925,Nature conservation,Federal budget
32258,32271,0.3621350325596045,"Democracy, Media & Digitalization",Foreign trade & foreign policy
32284,32288,0.3627247804041997,Federal budget,Federal budget
32250,32284,0.36273776182408884,Energy & transport,Federal budget
32220,32225,0.3630765933208759,Health,Education
32275,32280,0.3630961284879656,Values,Values
32237,32244,0.3630967851139795,Finances & taxes,Economy & labour
32246,32280,0.3631090966318852,Energy & transport,Values
32219,32263,0.36321906100977513,Welfare state & family,"Democracy, Media & Digitalization"
32243,32248,0.3632633656027008,Economy & labour,Energy & transport
32229,32246,0.3637129976519257,Immigration & integration,Energy & transport
32246,32248,0.36446491316429414,Energy & transport,Energy & transport
32253,32270,0.36527974056075946,Nature conservation,Foreign trade & foreign policy
32230,32272,0.3654024278105962,Immigration & integration,Foreign trade & foreign policy
32215,32216,0.36546196196124703,Welfare state & family,Welfare state & family
32267,32278,0.36555148958871353,Security & military,Values
32236,32237,0.36564360351183983,Finances & taxes,Finances & taxes
32246,32270,0.36586881805817056,Energy & transport,Foreign trade & foreign policy
32220,32268,0.3659189917023498,Health,Security & military
32215,32288,0.36607012266663813,Welfare state & family,Federal budget
32223,32272,0.36646947254270046,Health,Foreign trade & foreign policy
32236,32276,0.36658054265125456,Finances & taxes,Values
32237,32276,0.3665984278094205,Finances & taxes,Values
32238,32276,0.36664183633711106,Finances & taxes,Values
32238,32246,0.3669335318928928,Finances & taxes,Energy & transport
32249,32271,0.3670455983078705,Energy & transport,Foreign trade & foreign policy
32216,32229,0.3670561535255926,Welfare state & family,Immigration & integration
32228,32231,0.3672912126532201,Immigration & integration,Immigration & integration
32214,32281,0.367319448584818,Welfare state & family,Federal budget
32241,32275,0.36734005619919496,Economy & labour,Values
32271,32280,0.3673913268218587,Foreign trade & foreign policy,Values
32284,32286,0.3675418523714393,Federal budget,Federal budget
32218,32237,0.36755985291618704,Welfare state & family,Finances & taxes
32242,32249,0.36765470609004347,Economy & labour,Energy & transport
32282,32287,0.3678012345111285,Federal budget,Federal budget
32281,32283,0.3678291072029413,Federal budget,Federal budget
32259,32263,0.36791044449575955,"Democracy, Media & Digitalization","Democracy, Media & Digitalization"
32249,32266,0.36809055393890217,Energy & transport,Security & military
32254,32283,0.3681396152464194,Nature conservation,Federal budget
32249,32255,0.3684741265208226,Energy & transport,Nature conservation
32263,32285,0.3685642162358725,"Democracy, Media & Digitalization",Federal budget
32250,32259,0.36896118969981073,Energy & transport,"Democracy, Media & Digitalization"
32249,32280,0.3691383644317357,Energy & transport,Values
32249,32258,0.36943228366184905,Energy & transport,"Democracy, Media & Digitalization"
32240,32272,0.3694926203402456,Economy & labour,Foreign trade & foreign policy
32261,32271,0.3695274627039834,"Democracy, Media & Digitalization",Foreign trade & foreign policy
32251,32261,0.3695714948808839,Energy & transport,"Democracy, Media & Digitalization"
32216,32237,0.3698955264672557,Welfare state & family,Finances & taxes
32236,32239,0.3699857533779331,Finances & taxes,Finances & taxes
32277,32281,0.3699931638962483,Values,Federal budget
32225,32229,0.37030443271267727,Education,Immigration & integration
32269,32270,0.37033581881600397,Foreign trade & foreign policy,Foreign trade & foreign policy
